"","type_of_monument_clean","n"
"1","NULL",158
"2","altar",25
"3","architectural member",3
"4","base",1
"5","block",4
"6","cippus",6
"7","cliff",8
"8","honorific/grave/votive column",2
"9","statue base",13
"10","stele",115
"11","table",1
"12","tabula",38
"13","tile",8
"14","urn",1
"15",NA,12
