"","type_of_monument_clean","n"
"1","NULL",819
"2","altar",229
"3","base",6
"4","block",2
"5","cippus",3
"6","cliff",10
"7","grave monument",2
"8","honorific/grave/votive column",7
"9","relief",6
"10","sarcophagus",11
"11","slab",1
"12","statue base",17
"13","stele",289
"14","tabula",179
"15","urn",47
"16",NA,66
