"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"57",6375,474827,"EDCS-27500105","HD053391",51,100,"Saturno / Aug(usto) sac(rum) / Claudia / Aesernina / sacerdos / divae Augustae / t(estamento) p(oni) i(ussit)","Saturno Augusto sacrum Claudia Aesernina sacerdos divae Augustae testamento poni iussit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","Augusti/Augustae, mulieres, sacerdotes pagani, tria nomina",43.0801,17.625,1
"58",6215,474662,"EDCS-10100883","HD034286",71,100,"Silvano Aug(usto) / sac(rum) Iul(ius) Cass/ianus mil(es) coh(ortis) / [------","Silvano Augusto sacrum Iulius Cassianus miles cohortis","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Trilj / Tilurium","Tilurium","Trilj","milites, tria nomina, viri",43.6139,16.689,1
"59",7013,107029,"EDCS-71300207",NA,71,100,NA,"Iovi Optimo Maximo Varius R TI cohortis I miliariae ex iussu libens",NA,"votive inscription",NA,"Dalmatia",NA,"Doboj",NA,NA,"milites, tria nomina, viri",44.7313612,18.0847183,1
"60",6511,474968,"EDCS-32500118","HD060606",96,117,"Iovi Au[gusto] / sacr[um] / colle[g(ium) Aug(ustalium)? s(ub)? c(ura)?] / L(ucio) Pub[licio?] / Diadu[meno] / Aug(ustale) / F(laviale) T(itiale) [N(erviale)? ---]","Iovi Augusto sacrum collegium Augustalium sub cura Lucio Publicio Diadumeno Augustale Flaviale Titiale Nerviale","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","sacerdotes pagani, seviri Augustales, tria nomina, viri",43.0801,17.625,1
"61",6347,474799,"EDCS-27500091","HD053374",98,117,"Aesculapio / Aug(usto) sacr(um) / P(ublius) Servilius [---] / IIIIIIvir [August(alis) Flav]/ialis [Titialis] / Nervialis testam[ento] / pon(endum) iussit ex [HS ---] / et ob dedicationem / [------]","Aesculapio Augusto sacrum Publius Servilius IIIIII vir Augustalis Flavialis Titialis Nervialis testamento ponendum iussit ex HS et ob dedicationem","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","sacerdotes pagani, seviri Augustales, viri",43.0801,17.625,1
"62",5541,473872,"EDCS-57200030","HD053954",1,130,"P(ublius) [---] / Pa[---] / Ma[tri Magnae? ---] / [-] vo[tum? ---]","Publius Pa Matri Magnae votum","votive inscription","votive inscription","stele","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","viri",43.5384,16.4743,1
"63",6725,475184,"EDCS-30800341","HD060135",1,130,"Iunoni Augustae / Appuleia M(arci) fil(ia) Quinta / suo et L(uci) Turpilii Brocchi / Liciniani filii nomine / test(amento) poni iuss(it)","Iunoni Augustae Appuleia Marci filia Quinta suo et Luci Turpilii Brocchi Liciniani filii nomine testamento poni iussit","votive inscription","votive inscription","statue base","Dalmatia","Dalmatia","Zadar / Iader","Iader","Zadar","mulieres, tria nomina, viri",44.115501,15.223778,1
"64",6962,523197,NA,"HD060136",1,130,"Iovi Augusto / Appuleia M(arci) f(ilia) Quinta / suo et L(uci) Turpilii Brocch[i] / Liciniani filii nomine t(estamento) [p(oni) i(ussit)]","Iovi Augusto Appuleia Marci filia Quinta suo et Luci Turpilii Brocchi Liciniani filii nomine testamento poni iussit","votive inscription","votive inscription","statue base",NA,"Dalmatia",NA,"Iader","Zadar",NA,44.115501,15.223778,1
"65",684,468634,"EDCS-27400546","HD053182",71,130,"------] / F[l]avia / C(ai) filia / [li?]b(ens?) pos(uit) / l(ocus) d(atus) d(ecreto) d(ecurionum)","Flavia Cai filia libens posuit locus datus decreto decurionum","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Duklja / Duklje / Rusevine / Doclea","Doclea","Podgorica","mulieres",42.469,19.2615,1
"66",6355,474807,"EDCS-26600657","HD050362",71,130,"I(ovi) O(ptimo) Aet(erno) / T(itus) F(lavius?) M/agnus / ex voto","Iovi Optimo Aeterno Titus Flavius Magnus ex voto","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","tria nomina, viri",43.0801,17.625,1
"67",2854,470864,"EDCS-27500028","HD049788",137,137,"L(ucio) Aelio Caesare II P(ublio) Coelio Balbino Vibullio Pio co(n)s(ulibus) / VII Idus Octobres / C(aius) Domitius Valens IIvir i(ure) d(icundo) praeeunte C(aio) Iulio Severo pontif(ice) / legem dixit in ea verba quae infra scripta sunt / Iuppiter Optime Maxime quandoque tibi hodie hanc aram dabo dedicaboque ollis legib(us) / ollisque regionibus dabo dedicaboque quas hic hodie palam dixero uti infimum solum huius arae est / si quis hic hostia sacrum faxit quod magmentum nec protollat it circo tamen probe factum esto ceterae / leges huic arae eaedem sunto quae arae Dianae sunt in Aventino monte dictae hisce legibus hisce regionib(us) / sic uti dixi hanc tibi aram Iuppiter Optime Maxime do dico dedicoque uti sis volens propitius mihi collegisque / meis decurionibus colonis incolis coloniae Martia[e I]uliae Salonae coniugibus liberisque nostri[s]","Lucio Aelio Caesare II Publio Coelio Balbino Vibullio Pio consulibus VII Idus Octobres Caius Domitius Valens II vir iure dicundo praeeunte Caio Iulio Severo pontifice legem dixit in ea verba quae infra scripta sunt Iuppiter Optime Maxime quando que tibi hodie hanc aram dabo dedicabo que ollis legibus ollis que regionibus dabo dedicabo que quas hic hodie palam dixero uti infimum solum huius arae est si quis hic hostia sacrum faxit quod magmentum nec protollat it circo tamen probe factum esto ceterae leges huic arae eaedem sunto quae arae Dianae sunt in Aventino monte dictae hisce legibus hisce regionibus sic uti dixi hanc tibi aram Iuppiter Optime Maxime do dico dedico que uti sis volens propitius mihi collegis que meis decurionibus colonis incolis coloniae Martiae Iuliae Salonae coniugibus liberis que nostris","votive inscription","votive inscription","tabula","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","mulieres, ordo decurionum, sacerdotes pagani, tria nomina, viri",43.5384,16.4743,1
"68",8,467869,"EDCS-28600121","HD060162",1,150,"Trivis / C(aius) Aristius / Clemens // ex vot[o l(ibens) s(olvit)] m(erito)","Trivis Caius Aristius Clemens ex voto libens solvit merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","?","Iader","Zadar","tria nomina, viri",44.115501,15.223778,1
"69",94,468018,"EDCS-31300292","HD052238",1,150,"B[i]ndo Neptuno / sacr(um) / Licinus Teuda / praep(ositus) et pri[n(ceps)] / Ia[p]odum / v(otum) s(olvit) l(ibens) m(erito)","Bindo Neptuno sacrum Licinus Teuda praepositus et princeps Iapodum votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bihac / Raetinium","Raetinium","Bihać","ordo decurionum, tria nomina, viri",44.7885,15.9292,1
"70",169,468095,"EDCS-28400346","HD056615",1,150,"H(erculi) A(ugusto) s(acrum) / [S?]al&lt;v=N?&gt;ius Obul/tronius / De[x]ter ","Herculi Augusto sacrum Sal lt v gt ius Obultronius Dexter","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Brac, Otok / Brattia","NULL","Supetar","tria nomina, viri",43.3239838,16.654819,1
"71",232,468161,"EDCS-10000833","HD034372",1,150,"L(ucius) Iulius / Restitutu[s] / [Silva]no / [sacrum]","Lucius Iulius Restitutus Silvano sacrum","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bribir / Bribirska Glavica / Varvaria","Varvaria","Skradin","tria nomina, viri",43.8892,15.9051,1
"72",236,468165,"EDCS-10000827","HD034366",1,150,"T(---) Darmo / Iano / v(otum) s(olvit) l(ibens) m(erito)","T Darmo Iano votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bribir / Bribirska Glavica / Varvaria","Varvaria","Skradin","praenomen et nomen, viri",43.8892,15.9051,1
"73",238,468167,"EDCS-10000829","HD034368",1,150,"Iulia / [-] f(ilia) Te[r]tulla / [N]ymp(h)is / [v(otum) s(olvit) l(ibens) m(erito)]","Iulia filia Tertulla Nymphis votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bribir / Bribirska Glavica / Varvaria","Varvaria","Skradin","mulieres, tria nomina",43.8892,15.9051,1
"74",239,468168,"EDCS-10000830","HD034369",1,150,"Terentia / T(iti) f(ilia) Secund[a] / Nymphis / [v(otum) s(olvit) l(ibens) m(erito)]","Terentia Titi filia Secunda Nymphis votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bribir / Bribirska Glavica / Varvaria","Varvaria","Skradin","mulieres, tria nomina",43.8892,15.9051,1
"75",242,468171,"EDCS-10000834","HD034373",1,150,"Ieta / Aeronia / C(ai) f(ilia) v(otum) s(olvit) l(ibens) [m(erito)]","Ieta Aeronia Cai filia votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bribir / Bribirska Glavica / Varvaria","Varvaria","Skradin","mulieres, praenomen et nomen",43.8892,15.9051,1
"76",243,468172,"EDCS-10000835","HD034374",1,150,"Mutilia / [-] f(ilia) Maxi/ma(?) ZICN / [v(otum)] s(olvit) l(ibens) m(erito)","Mutilia filia Maxima ZICN votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bribir / Bribirska Glavica / Varvaria","Varvaria","Skradin","mulieres, tria nomina",43.8892,15.9051,1
"77",247,468176,"EDCS-10000840","HD034379",1,150,"Darmoca / Ceunae l(iberta) / Secunda / [------","Darmoca Ceunae liberta Secunda","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bribir / Bribirska Glavica / Varvaria","Varvaria","Skradin","liberti/libertae, mulieres, nomen singulare, tria nomina",43.8892,15.9051,1
"78",249,468178,"EDCS-10000954","HD015550",1,150,"Marti sac(rum) / Turus Longini f(ilius) / dec(urio) et sacerdotali(s) / pro suis et cognation(e) / Nantania / de suo v(otum) s(olvit) l(ibens) m(erito)","Marti sacrum Turus Longini filius decurio et sacerdotalis pro suis et cognatione Nantania de suo votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Bribir / Bribirska Glavica / Varvaria","Varvaria","Skradin","mulieres, nomen singulare, ordo decurionum, sacerdotes pagani, viri",43.8892,15.9051,1
"79",287,468217,"EDCS-30200433","HD034398",1,150,"Tytulius / Panentis / Silvano Do/mestico pos(uit)","Tytulius Panentis Silvano Domestico posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Burnum","Burnum","Kistanje","nomen singulare, viri",44.0317,15.9936,1
"80",315,468245,"EDCS-31200515","HD057623",1,150,"[- Do]mitiu[s] / [R]ufus / [L]atrae / v(otum) s(olvit) l(ibens) m(erito)","Domitius Rufus Latrae votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Burnum","Asseria","Benkovac","tria nomina, viri",44.0103,15.6844,1
"81",316,468246,"EDCS-31200516","HD057618",1,150,"&lt;L=I&gt;(ucius) Dom[itius] / Ru[fus] / [------ ","lt L gt ucius Domitius Rufus","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Burnum","Asseria","Benkovac","tria nomina, viri",44.0103,15.6844,1
"82",362,468303,"EDCS-27400579","HD053294",1,150,"[------] / sac[rum] / Q(uintus) Fulv[ius] / Clem[ens] / v(otum) s(olvit) l(ibens) m(erito)","sacrum Quintus Fulvius Clemens votum solvit libens merito","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","tria nomina, viri",42.5848,18.2137,1
"83",370,468311,"EDCS-27400593","HD052962",1,150,"------]lustratores / [---]us Placidus et / [---]un(ius) Epidianus IIviri","lustratores us Placidus et unius Epidianus II viri","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Cavtat / Epidaurum","Epidaurum","Konavle","officium/professio, ordo decurionum, tria nomina, viri",42.5848,18.2137,1
"84",410,468351,"EDCS-28300053","HD061978",1,150,"I(ovi) O(ptimo) M(aximo) / M(arcus) Plaetori/us Albanus / posuit","Iovi Optimo Maximo Marcus Plaetorius Albanus posuit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","tria nomina, viri",43.7423,16.6547,1
"85",412,468353,"EDCS-28300055","HD061980",1,150,"Libero Aug(usto) / sacrum / L(ucius) Aebutius L(uci) f(ilius) / Ser(gia) Celer ae[d(ilis)] / IIvir i(uri) d(icundo) ex pe[c(unia) p(ublica)]","Libero Augusto sacrum Lucius Aebutius Luci filius Sergia Celer aedilis II vir iuri dicundo ex pecunia publica","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","ordo decurionum, tria nomina, viri",43.7423,16.6547,1
"86",432,468374,"EDCS-30100422","HD061970",1,150,"[Veneri?] / [Ge]netrici / [--]CL[---] / [---]M[---] / Cn(aei) f(ilius) [---] / [d]omo [---] / N in [---] / [-]quitat(---) [---] / [---]I ex [viso?] / [------?","Veneri Genetrici CL M Cnaei filius domo N in quitat I ex viso","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Citluk / Aequum","Aequum","Sinj","viri",43.7423,16.6547,1
"87",489,468432,"EDCS-10101963","HD035316",1,150,"------] / Servi[---] / C(ai) l(ibertus) Fus[---] / p(osuit) v(oto) [s(oluto)]","Servi Cai libertus Fus posuit voto soluto","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Cres / Crexa","Apsorus","Mali Lošinj","liberti/libertae, tria nomina, viri",44.693,14.3919,1
"88",513,468457,"EDCS-28300096","HD062410",1,150,"I(ovi) O(ptimo) M(aximo) / C(aius) Arrius / Agaeviv[us](?) / fec(it)","Iovi Optimo Maximo Caius Arrius Agaevivus fecit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Danilo Gornje / Rider","Rider","Šibenik","tria nomina, viri",43.7034,16.0486,1
"89",514,468458,"EDCS-28300097","HD062408",1,150,"I(ovi) O(ptimo) M(aximo) / sac(rum) / Iettus / Dasantis","Iovi Optimo Maximo sacrum Iettus Dasantis","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Danilo Gornje / Rider","Rider","Šibenik","nomen singulare, viri",43.7034,16.0486,1
"90",515,468459,"EDCS-28300098","HD062407",1,150,"Maxima Turi / Nymphis","Maxima Turi Nymphis","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Danilo Gornje / Rider","Rider","Šibenik","mulieres, nomen singulare, viri",43.7034,16.0486,1
"91",551,468495,"EDCS-30301378","HD061859",1,150,"A(ulus) Larcius / Clemens / Trivi(i)s / v(otum) s(olvit) l(ibens) m(erito)","Aulus Larcius Clemens Triviis votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Danilo Gornje / Rider","Rider","Šibenik","tria nomina, viri",43.7034,16.0486,1
"92",566,468511,"EDCS-10000267","HD033154",1,150,"I(ovi) O(ptimo) M(aximo) / Pinsus &lt;G=C&gt;er/manicus / Turi f(ilius) ","Iovi Optimo Maximo Pinsus lt G gt ermanicus Turi filius","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Danilo Gornje / Rider","Rider","Šibenik","nomen singulare, tria nomina, viri",43.7034,16.0486,1
"93",567,468512,"EDCS-10000268","HD033157",1,150,"------](?) / MAC(?)[---] / Planus / Verzu[l]/us [--] et / Paio Ter/minio / v(otum) s(olverunt) l(ibentes) m(erito)","MAC Planus Verzulus et Paio Terminio votum solverunt libentes merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Danilo Gornje / Rider","Rider","Šibenik","tria nomina, viri",43.7034,16.0486,1
"94",568,468513,"EDCS-10000269","HD033160",1,150,"Silv(a)no / Atisus / [--] v(otum)(?) m(erito)(?)","Silvano Atisus votum merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Danilo Gornje / Rider","Rider","Šibenik","viri",43.7034,16.0486,1
"95",569,468514,"EDCS-10000270","HD033163",1,150,"[S(ilvano)] S(ilvestri) s(acrum) / [M]aximus / [Ge]rmani/ci l(ibertus)","Silvano Silvestri sacrum Maximus Germanici libertus","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Danilo Gornje / Rider","Rider","Šibenik","liberti/libertae, nomen singulare, viri",43.7034,16.0486,1
"96",570,468515,"EDCS-10000271","HD033166",1,150,"S(ilvano) S(ilvestri) M[es(sori)?] / s(acrum) Aneius / Caecili/us [---]","Silvano Silvestri Messori sacrum Aneius Caecilius","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Danilo Gornje / Rider","Rider","Šibenik","tria nomina, viri",43.7034,16.0486,1
"97",593,468538,"EDCS-10000802","HD034273",1,150,"Verna [---] / [-]ran[--- f(ilius)?] / Sil(vano) Silv(estri) [---] / [------?","Verna ran filius Silvano Silvestri","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Danilo Gornje / Rider","Rider","Šibenik","nomen singulare, servi/servae, viri",43.7034,16.0486,1
"98",658,468606,"EDCS-30200163","HD057911",1,150,"S(ilvano) A(ugusto) s(acrum) / Titus / Candalio / pos(uit)","Silvano Augusto sacrum Titus Candalio posuit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Dragovic","NULL","Vrlika","tria nomina, viri",45.469965,17.2766853,1
"99",674,468624,"EDCS-10000938","HD034593",1,150,"D(ianae) A(ugustae) s(acrum) / [E]u(h)emer(us) servus Aug(usti) / v(otum) l(ibens) s(olvit) m(erito)","Dianae Augustae sacrum Euhemerus servus Augusti votum libens solvit merito","votive inscription","votive inscription","relief","Dalmatia","Dalmatia","Dugi Otok","NULL","Sali","nomen singulare, servi/servae, viri",44.0211315,15.0315195,1
"100",979,468932,"EDCS-28300068","HD061925",1,150,"Castori / et Polluci / sac{e}rum / Fabericia / Pieris / v(otum) s(olvit) l(ibens) m(erito)","Castori et Polluci sacerum Fabericia Pieris votum solvit libens merito","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Gornji Muc / Andetrium","Andetrium","Muć","mulieres, tria nomina",43.6922,16.5206,1
"101",1044,468999,"EDCS-10101867","HD035459",1,150,"Titia M(arci) filia / Rufina / TAB[---] / v(otum?) s(olvit)(?) l(ibens)(?) [m(erito)](?)","Titia Marci filia Rufina TAB votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Gradina / Domavium","Sidrona","Benkovac","mulieres, tria nomina",44.1354,15.7481,1
"102",1049,469004,"EDCS-10101872","HD029694",1,150,"Val(etudini) Sta(tae?) sac(rum) / Lurnio Cal(purnia?) / v(otum) s(olvit) l(ibens)","Valetudini Statae sacrum Lurnio Calpurnia votum solvit libens","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Gradina / Domavium","Sidrona","Obrovac","tria nomina, viri",44.1354,15.7481,1
"103",1060,469015,"EDCS-30301449","HD058031",1,150,"Vesia / C(ai) f(ilia) Qui/ncta / v(otum) s(olvit) l(ibens) m(erito)","Vesia Cai filia Quincta votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Gradina di Perusic","Asseria","Benkovac","mulieres, tria nomina",44.0103,15.6844,1
"104",1134,469093,"EDCS-30900093","HD061124",1,150,"L(ucius) Rustius Picen[s] / tr(ibunus) mil(itum) vovi[t] / praef(ectus) eq(uitum) fec[it]","Lucius Rustius Picens tribunus militum vovit praefectus equitum fecit","votive inscription","votive inscription","statue base","Dalmatia","Dalmatia","Hvar / Lesina / Pharia","Pharia, insula","Hvar","milites, ordo equester, ordo senatorius, tria nomina, viri",43.1725,16.4428,1
"105",1202,469166,"EDCS-32700562","HD061330",1,150,"------](?) / [---]SV[---] / [--- v(otum)?] l(ibens?) s(olvit?) m(erito?) [---] / [---] NiceP(?)[hor-? ---] / [--- T]hallu[s ---]","SV votum libens solvit merito NicePhor Thallus","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Ivosevci / Burnum","Burnum","Kistanje","viri",44.0317,15.9936,1
"106",1342,469308,"EDCS-30301477","HD035650",1,150,"Iovi O(ptimo) M(aximo) / [---]ter(?) L(uci) l(ibertus) Seve[rus] / v(otum) s(olvit) l(ibens) m(erito)","Iovi Optimo Maximo ter Luci libertus Severus votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Karin Gornji / Corinium","Corinium","Benkovac","liberti/libertae, tria nomina, viri",44.1075,15.6256,1
"107",1343,469309,"EDCS-30301478","HD060034",1,150,"Latra[e ---] / Q(uintus) Calpurnius Sex(ti) f(ilius) Ser(gia) F[---] / [v(otum)](?) l(ibens?) m(erito?) [p(osuit)](?)","Latrae Quintus Calpurnius Sexti filius Sergia F votum libens merito posuit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Karin Gornji / Corinium","Corinium","Benkovac","tria nomina, viri",44.1075,15.6256,1
"108",1354,469321,"EDCS-30200439","HD035655",1,150,"Oppia / C(ai) f(ilia) / [A?]equina / v(otum) s(olvit) l(ibens) m(erito)","Oppia Cai filia Aequina votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Karin Gornji / Corinium","Corinium","Novigrad","mulieres, tria nomina",44.1075,15.6256,1
"109",1357,469324,"EDCS-10101884","HD030510",1,150,"Libero Patr(i) / Q(uintus) (H)ostilius / [Ba]rcinus v(oto) f(ecit)","Libero Patri Quintus Hostilius Barcinus voto fecit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Karin Gornji / Corinium","Corinium","Benkovac","tria nomina, viri",44.1075,15.6256,1
"110",1381,469348,"EDCS-10101800","HD027942",1,150,"Silvano Aug(usto) sacr(um) pro salute et reditu Luci Pomponi / Valentini Lucius Pomponius Restutus cliens","Silvano Augusto sacrum pro salute et reditu Luci Pomponi Valentini Lucius Pomponius Restutus cliens","votive inscription","votive inscription","architectural member","Dalmatia","Dalmatia","Kastel Sucurac / Salona","Salonae","Kaštela","liberti/libertae, tria nomina, viri",43.5384,16.4743,1
"111",1390,469357,"EDCS-30301402","HD061479",1,150,"C(aius) Atilius / Macedo / v(otum) s(olvit)","Caius Atilius Macedo votum solvit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Kistanje / Burnum","NULL","Kistanje - Lišane Ostrovičke, zwischen","tria nomina, viri",43.9814264,15.9653321,1
"112",1616,469593,"EDCS-28400302","HD061823",1,150,"Libero Pa(tri) / Aug(usto) sac(rum) / L(ucius) Volumn/ius Pudens / v(otum) s(olvit) l(ibens) m(erito) / fecit D(---)","Libero Patri Augusto sacrum Lucius Volumnius Pudens votum solvit libens merito fecit D","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Labin / Alvona","Albona","Labin","tria nomina, viri",45.0949,14.1232,1
"113",1636,469613,"EDCS-30400618","HD061805",1,150,"L(ucius) Granius / Voltimes(is) f(ilius) / Rufus Iutossicae v(otum) / s(olvit) l(ibens) m(erito)","Lucius Granius Voltimesis filius Rufus Iutossicae votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Labin / Alvona","Albona","Labin","nomen singulare, tria nomina, viri",45.0949,14.1232,1
"114",1637,469614,"EDCS-30400619","HD061804",1,150,"Geminus / Boninus / Hostiducis / Sentonae / v(otum) s(olvit) l(ibens) m(erito)","Geminus Boninus Hostiducis Sentonae votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Labin / Alvona","Albona","Labin, bei","nomen singulare, tria nomina, viri",45.0949,14.1232,1
"115",1646,469623,"EDCS-10101926","HD035272",1,150,"Acaica Hoia / pro Benigna / et Iadestin(o) v(otum) s(olvit)","Acaica Hoia pro Benigna et Iadestino votum solvit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Labin / Alvona","Albona","Labin","mulieres, nomen singulare, tria nomina",45.0949,14.1232,1
"116",1647,469624,"EDCS-10101927","HD035273",1,150,"------]/[n]ama / Sex(ti) f(ilia) / Matto / v(otum) s(olvit) l(ibens) m(erito)","nama Sexti filia Matto votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Labin / Alvona","Albona","Labin","mulieres, tria nomina",45.0949,14.1232,1
"117",1661,469638,"EDCS-30301388","HD061581",1,150,"[---]ae Aug(ustae) / [---]ia Apli f(ilia) / [---]unda pro se / [et s]uis voto sus/[cept]o port(icum) fec(it)","ae Augustae ia Apli filia unda pro se et suis voto suscepto porticum fecit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Lastve, Bribir","Varvaria","Skradin","mulieres, tria nomina",43.8892,15.9051,1
"118",1764,469742,"EDCS-27500177","HD053668",1,150,"I(ovi) O(ptimo) M(aximo) L(ucius)(?) Numerius Valens","Iovi Optimo Maximo Lucius Numerius Valens","votive inscription","votive inscription","architectural member","Dalmatia","Dalmatia","Makarska","Muccurum","Makarska","tria nomina, viri",43.2969,17.0178,1
"119",1861,469847,"EDCS-57200136","HD052276",1,150,"Latrae A[ug(ustae)?] / libentes Gel[lii?] / sub Clod(io) Gem[ino?] / aedile [[[fecerunt?]]]","Latrae Augustae libentes Gellii sub Clodio Gemino aedile fecerunt","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Nadin / Nedinum","Nedinum","Benkovac","ordo decurionum, tria nomina, viri",44.0721,15.5095,1
"120",1863,469849,"EDCS-28300187","HD058151",1,150,"Pupillor(um) / Moicorum / liberta / Dumma La/trae v(otum) s(olvit) l(ibens) m(erito)","Pupillorum Moicorum liberta Dumma Latrae votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Nadin / Nedinum","Nedinum","Benkovac","liberti/libertae, mulieres, nomen singulare, tria nomina, viri",44.0721,15.5095,1
"121",1864,469850,"EDCS-28300188","HD058230",1,150,"C(aius) Iulius / Picusi f(ilius) / Ceunus / Latrae / v(otum) s(olvit) l(ibens) m(erito)","Caius Iulius Picusi filius Ceunus Latrae votum solvit libens merito","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Nadin / Nedinum","Nedinum","Benkovac","nomen singulare, tria nomina, viri",44.0721,15.5095,1
"122",1886,469872,"EDCS-30301467","HD058224",1,150,"Recus Senti/us Iovi Op&lt;t=I&gt;(imo) / Maxumo / v(otum) s(olvit) l(ibens) m(erito) ","Recus Sentius Iovi Op lt t gt imo Maxumo votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Nadin / Nedinum","Nedinum","Benkovac","tria nomina, viri",44.0721,15.5095,1
"123",1917,469903,"EDCS-28400225","HD060340",1,150,"Iano Aug(usto) / sacrum / Cinius Genial/is pro salute o/rdinis sui et civi/um suorum si/mulacrum &lt;e=T&gt;i / reformavit a&lt;t=D&gt;/que restitui&lt;t=D&gt; ","Iano Augusto sacrum Cinius Genialis pro salute ordinis sui et civium suorum simulacrum lt e gt i reformavit a lt t gt que restitui lt t gt","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Nin / Aenona","Aenona","Nin","tria nomina, viri",44.2435,15.1842,1
"124",1918,469904,"EDCS-28400226","HD009272",1,150,"Neptuno Dian(ae) / propt(er) mai(estatem) / L(ucius) Cincius / Trophim(us) / ex viso p(osuit) / quod (H)alis // vidit","Neptuno Dianae propter maiestatem Lucius Cincius Trophimus ex viso posuit quod Halis vidit","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Nin / Aenona","Aenona","Nin","nomen singulare, tria nomina, viri",44.2435,15.1842,1
