"","X","LIST.ID","EDCS.ID","EDH.ID","not_before","not_after","transcription","clean_text_interpretive_word","type_of_inscription_clean","type_of_inscription_auto","type_of_monument_clean","province","province_label_clean","place","findspot_ancient_clean","findspot_modern_clean","status_notation","Latitude","Longitude","count"
"14",1982,469969,"EDCS-10000337","HD016279",1,50,"B(onae) D(eae) dom(inae) Heiae A[ug(ustae)] / triumphali terrae / marisq(ue) dominatric[i] / conservatrici / mentiumque bo[n]arum / ac remediorum potenti / deae bene iudicanti / [C]alpurnia L(uci) Pisonis aug(uris) f(ilia) / Cn(aei) Pisonis neptis / d(onum) d(edit)","Bonae Deae dominae Heiae Augustae triumphali terrae maris que dominatrici conservatrici mentium que bonarum ac remediorum potenti deae bene iudicanti Calpurnia Luci Pisonis auguris filia Cnaei Pisonis neptis donum dedit","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Novalja","Cissa","Novalja","mulieres, nomen singulare, praenomen et nomen, viri",44.546,14.914,1
"15",6558,475015,"EDCS-12000833","HD042301",1,50,"Catena Ter/tulla / Veneri / munus","Catena Tertulla Veneri munus","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","mulieres, tria nomina",43.0801,17.625,1
"16",6941,509768,"EDCS-10100575","HD033868",1,50,"[Silv]ano Aug(usto) sa(crum) // Aur(e)l(ius) Marci fil(ius) v(otum) s(olvit)","Silvano Augusto sacrum Aurelius Marci filius votum solvit","votive inscription","votive inscription","altar","Pannonia superior","Dalmatia","Gradac","NULL","Kiseljak","nomen singulare, viri",45.6142808,15.2452183,1
"17",6948,523120,NA,"HD051036",1,50,"C(aius) Ar/runt/i(us) v(otum) s(olvit)","Caius Arruntius votum solvit","votive inscription","votive inscription","tabula",NA,"Dalmatia",NA,"Asseria","Benkovac",NA,44.0103,15.6844,1
"18",2003,469992,"EDCS-03000738","HD039963",14,50,"[Div]o Aug(usto) et [Romae] / sacru[m] // [Ara]m Geni[o -]/[--- A]ugustam / [coh(ors)? Ga?]llica vol(untariorum?) / [------](?)","Divo Augusto et Romae sacrum Aram Genio Augustam cohors Gallica voluntariorum","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Omis / Almissa / Oneum / Onaeum","Oneum","Omiš",NA,43.4422,16.7019,1
"19",6352,474804,"EDCS-26600656","HD039236",14,54,"Dianae Nemore(n)s(i) / sacrum / Ti(berius) Claudius Claud[i]/anus praef(ectus) coh(ortis) I / Bracaraugust(anorum) / ex voto su(s)cep(to) de suo","Dianae Nemorensi sacrum Tiberius Claudius Claudianus praefectus cohortis I Bracaraugustanorum ex voto suscepto de suo","votive inscription","votive inscription","statue base","Dalmatia","Dalmatia","Vid / Narona","Narona","Metković","milites, ordo equester, tria nomina, viri",43.0801,17.625,1
"20",3610,471654,"EDCS-28701352","HD057704",9,56,"------] / [--- m]iles leg(ionis) VI[I ---] / Veneri don[um ob] / [magisteriu?]m cognation[is ---] / [--- Cl]odior(um) CVI(?)[---] / [------","miles legionis VII Veneri donum ob magisterium cognationis Clodiorum CVI","votive inscription","votive inscription","NULL","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","milites, viri",43.5384,16.4743,1
"21",2571,470574,"EDCS-08300491","HD003120",42,57,"Herculi / sacrum / P(ublius) Plotius |(centurio) leg(ionis) / VII C(laudiae) p(iae) f(idelis) / v(otum) s(olvit) l(ibens) m(erito)","Herculi sacrum Publius Plotius centurio legionis VII Claudiae piae fidelis votum solvit libens merito","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Seget Donji / Tragurium","Tragurium","Seget","milites, praenomen et nomen, viri",43.5594,16.524,1
"22",5192,473437,"EDCS-10101029","HD034543",54,63,"------] / [C(aius) Cal]petanus / [Rant]ius Sedatus / [leg(atus) C]aesaris","Caius Calpetanus Rantius Sedatus legatus Caesaris","votive inscription","votive inscription","altar","Dalmatia","Dalmatia","Solin / Salona","Salonae","Solin","ordo senatorius, tria nomina, viri",43.5384,16.4743,1
"23",7084,108903,"EDCS-78300737",NA,1,70,NA,"uttius ntinus A Fortunae pecunia sua restituit",NA,"votive inscription",NA,"Dalmatia",NA,"Vid / Narona",NA,NA,"tria nomina, viri",43.0804139,17.6258524,1
