"","fo_antik","koordinaten1","n","latitude","longitude"
"1325","Salonae, bei","43.515163582,16.462812425",1,"43.515163582","16.462812425"
"1326","Salonae, bei","43.517385643,16.554022228",1,"43.517385643","16.554022228"
"1327","Salonae, bei","43.518456186,16.457004547",1,"43.518456186","16.457004547"
"1328","Salonae, bei","43.520881955,16.435841917",1,"43.520881955","16.435841917"
"1329","Salonae, bei","43.521294279,16.429517269",1,"43.521294279","16.429517269"
"1330","Salonae, bei","43.522290070,16.447048187",1,"43.522290070","16.447048187"
"1331","Salonae, bei","43.524067671,16.489421725",1,"43.524067671","16.489421725"
"1332","Salonae, bei","43.525930789,16.501121520",1,"43.525930789","16.501121520"
"1333","Salonae, bei","43.526301590,16.480665207",1,"43.526301590","16.480665207"
"1334","Salonae, bei","43.530256358,16.478413939",1,"43.530256358","16.478413939"
"1335","Salonae, bei","43.530801852,16.474222183",1,"43.530801852","16.474222183"
"1336","Salonae, bei","43.531056984,16.476530938",1,"43.531056984","16.476530938"
"1337","Salonae, bei","43.531190884,16.461443219",1,"43.531190884","16.461443219"
"1338","Salonae, bei","43.531364231,16.478864550",1,"43.531364231","16.478864550"
"1339","Salonae, bei","43.531418680,16.471198797",1,"43.531418680","16.471198797"
"1340","Salonae, bei","43.531531466,16.482839584",1,"43.531531466","16.482839584"
"1341","Salonae, bei","43.531617028,16.463817358",1,"43.531617028","16.463817358"
"1342","Salonae, bei","43.531718146,16.464461088",1,"43.531718146","16.464461088"
"1343","Salonae, bei","43.531967053,16.475361585",1,"43.531967053","16.475361585"
"1344","Salonae, bei","43.532807103,16.496958732",1,"43.532807103","16.496958732"
"1345","Salonae, bei","43.532807103,16.528158187",1,"43.532807103","16.528158187"
"1346","Salonae, bei","43.533017114,16.486551761",1,"43.533017114","16.486551761"
"1347","Salonae, bei","43.5333587,16.527907599",1,"43.5333587","16.527907599"
"1348","Salonae, bei","43.533580473,16.481263977",1,"43.533580473","16.481263977"
"1349","Salonae, bei","43.535811632,16.445822035",1,"43.535811632","16.445822035"
"1350","Salonae, bei","43.537202918,16.491363644",1,"43.537202918","16.491363644"
"1351","Salonae, bei","43.538153077,16.491243839",1,"43.538153077","16.491243839"
"1352","Salonae, bei","43.538663798,16.473076343",1,"43.538663798","16.473076343"
"1353","Salonae, bei","43.538709351,16.489792636",1,"43.538709351","16.489792636"
"1354","Salonae, bei","43.538891565,16.481221828",1,"43.538891565","16.481221828"
"1355","Salonae, bei","43.538954155,16.490712761",1,"43.538954155","16.490712761"
"1356","Salonae, bei","43.538955451,16.475592255",1,"43.538955451","16.475592255"
"1357","Salonae, bei","43.539251547,16.455855028",1,"43.539251547","16.455855028"
"1358","Salonae, bei","43.539278212,16.480972766",1,"43.539278212","16.480972766"
"1359","Salonae, bei","43.539332654,16.479604840",1,"43.539332654","16.479604840"
"1360","Salonae, bei","43.539378207,16.477543348",1,"43.539378207","16.477543348"
"1361","Salonae, bei","43.539459684,16.466810703",1,"43.539459684","16.466810703"
"1362","Salonae, bei","43.539872066,16.481998903",1,"43.539872066","16.481998903"
"1363","Salonae, bei","43.539943173,16.482101976",1,"43.539943173","16.482101976"
"1364","Salonae, bei","43.540055943,16.458721160",1,"43.540055943","16.458721160"
"1365","Salonae, bei","43.540055943,16.491765975",1,"43.540055943","16.491765975"
"1366","Salonae, bei","43.540219265,16.496894359",1,"43.540219265","16.496894359"
"1367","Salonae, bei","43.540429250,16.484642028",1,"43.540429250","16.484642028"
"1368","Salonae, bei","43.540522577,16.483527762",1,"43.540522577","16.483527762"
"1369","Salonae, bei","43.540600349,16.482206583",1,"43.540600349","16.482206583"
"1370","Salonae, bei","43.540648308,16.477845311",1,"43.540648308","16.477845311"
"1371","Salonae, bei","43.540970542,16.483807325",1,"43.540970542","16.483807325"
"1372","Salonae, bei","43.541004761,16.477550268",1,"43.541004761","16.477550268"
"1373","Salonae, bei","43.541082532,16.512978419",1,"43.541082532","16.512978419"
"1374","Salonae, bei","43.541168081,16.483507490",1,"43.541168081","16.483507490"
"1375","Salonae, bei","43.541351687,16.484051942",1,"43.541351687","16.484051942"
"1376","Salonae, bei","43.541362508,16.473371386",1,"43.541362508","16.473371386"
"1377","Salonae, bei","43.541366397,16.473371386",1,"43.541366397","16.473371386"
"1378","Salonae, bei","43.541463610,16.482882499",1,"43.541463610","16.482882499"
"1379","Salonae, bei","43.541466203,16.496779919",1,"43.541466203","16.496779919"
"1380","Salonae, bei","43.541466203,16.514694929",1,"43.541466203","16.514694929"
"1381","Salonae, bei","43.541510273,16.477088928",1,"43.541510273","16.477088928"
"1382","Salonae, bei","43.541521938,16.482426524",1,"43.541521938","16.482426524"
"1383","Salonae, bei","43.541607486,16.474739313",1,"43.541607486","16.474739313"
"1384","Salonae, bei","43.541696922,16.482211947",1,"43.541696922","16.482211947"
"1385","Salonae, bei","43.541743584,16.483107805",1,"43.541743584","16.483107805"
"1386","Salonae, bei","43.541766916,16.486272811",1,"43.541766916","16.486272811"
"1387","Salonae, bei","43.541774693,16.483161449",1,"43.541774693","16.483161449"
"1388","Salonae, bei","43.541825243,16.483435034",1,"43.541825243","16.483435034"
"1389","Salonae, bei","43.541899125,16.483510136",1,"43.541899125","16.483510136"
"1390","Salonae, bei","43.541931344,16.482879434",1,"43.541931344","16.482879434"
"1391","Salonae, bei","43.541961341,16.483080983",1,"43.541961341","16.483080983"
"1392","Salonae, bei","43.541971,16.482822",1,"43.541971","16.482822"
"1393","Salonae, bei","43.541996338,16.482946872",1,"43.541996338","16.482946872"
"1394","Salonae, bei","43.542028001,16.482802799",1,"43.542028001","16.482802799"
"1395","Salonae, bei","43.542059,16.482736",1,"43.542059","16.482736"
"1396","Salonae, bei","43.542093550,16.483483314",1,"43.542093550","16.483483314"
"1397","Salonae, bei","43.542101327,16.484046578",1,"43.542101327","16.484046578"
"1398","Salonae, bei","43.542140212,16.482555270",1,"43.542140212","16.482555270"
"1399","Salonae, bei","43.542144,16.482749",1,"43.542144","16.482749"
"1400","Salonae, bei","43.542193873,16.484929561",1,"43.542193873","16.484929561"
"1401","Salonae, bei","43.542210205,16.483113169",1,"43.542210205","16.483113169"
"1402","Salonae, bei","43.542221870,16.481852531",1,"43.542221870","16.481852531"
"1403","Salonae, bei","43.542245201,16.483064889",1,"43.542245201","16.483064889"
"1404","Salonae, bei","43.542379354,16.484835147",1,"43.542379354","16.484835147"
"1405","Salonae, bei","43.542575722,16.478333473",1,"43.542575722","16.478333473"
"1406","Salonae, bei","43.542674230,16.502487659",1,"43.542674230","16.502487659"
"1407","Salonae, bei","43.542719595,16.476364731",1,"43.542719595","16.476364731"
"1408","Salonae, bei","43.542762368,16.521929333",1,"43.542762368","16.521929333"
"1409","Salonae, bei","43.542894575,16.483590602",1,"43.542894575","16.483590602"
"1410","Salonae, bei","43.542995675,16.494335532",1,"43.542995675","16.494335532"
"1411","Salonae, bei","43.543213427,16.483531594",1,"43.543213427","16.483531594"
"1412","Salonae, bei","43.543368964,16.481670141",1,"43.543368964","16.481670141"
"1413","Salonae, bei","43.543475062,16.483935458",1,"43.543475062","16.483935458"
"1414","Salonae, bei","43.543524500,16.491250991",1,"43.543524500","16.491250991"
"1415","Salonae, bei","43.543594492,16.475039720",1,"43.543594492","16.475039720"
"1416","Salonae, bei","43.543621710,16.475082635",1,"43.543621710","16.475082635"
"1417","Salonae, bei","43.543629487,16.475098729",1,"43.543629487","16.475098729"
"1418","Salonae, bei","43.543629487,16.475366950",1,"43.543629487","16.475366950"
"1419","Salonae, bei","43.543707255,16.475560069",1,"43.543707255","16.475560069"
"1420","Salonae, bei","43.543727,16.475142",1,"43.543727","16.475142"
"1421","Salonae, bei","43.543831684,16.475415229",1,"43.543831684","16.475415229"
"1422","Salonae, bei","43.543867084,16.475608348",1,"43.543867084","16.475608348"
"1423","Salonae, bei","43.543905563,16.475039720",1,"43.543905563","16.475039720"
"1424","Salonae, bei","43.543930837,16.475149691",1,"43.543930837","16.475149691"
"1425","Salonae, bei","43.543960000,16.475447416",1,"43.543960000","16.475447416"
"1426","Salonae, bei","43.543967777,16.475055813",1,"43.543967777","16.475055813"
"1427","Salonae, bei","43.543972,16.475139",1,"43.543972","16.475139"
"1428","Salonae, bei","43.5439865,16.4757078",1,"43.5439865","16.4757078"
"1429","Salonae, bei","43.544015548,16.519633361",1,"43.544015548","16.519633361"
"1430","Salonae, bei","43.544039064,16.475386619",1,"43.544039064","16.475386619"
"1431","Salonae, bei","43.544057209,16.475444734",1,"43.544057209","16.475444734"
"1432","Salonae, bei","43.544058506,16.475458145",1,"43.544058506","16.475458145"
"1433","Salonae, bei","43.544146642,16.475336551",1,"43.544146642","16.475336551"
"1434","Salonae, bei","43.5441591,16.4919213",1,"43.5441591","16.4919213"
"1435","Salonae, bei","43.544348837,16.475506424",1,"43.544348837","16.475506424"
"1436","Salonae, bei","43.546821778,16.487331389",1,"43.546821778","16.487331389"
"1437","Salonae, bei","43.5470859,16.425510300",1,"43.5470859","16.425510300"
"1438","Salonae, bei","43.547370566,16.432303701",1,"43.547370566","16.432303701"
"1439","Salonae, bei","43.547459438,16.497130393",1,"43.547459438","16.497130393"
"1440","Salonae, bei","43.547801594,16.423187255",1,"43.547801594","16.423187255"
"1441","Salonae, bei","43.547871581,16.432961225",1,"43.547871581","16.432961225"
"1442","Salonae, bei","43.548727517,16.517962728",1,"43.548727517","16.517962728"
"1443","Salonae, bei","43.548729184,16.517964261",1,"43.548729184","16.517964261"
"1444","Salonae, bei","43.549128728,16.504958583",1,"43.549128728","16.504958583"
"1445","Salonae, bei","43.549621211,16.396864056",1,"43.549621211","16.396864056"
"1446","Salonae, bei","43.549636763,16.410570144",1,"43.549636763","16.410570144"
"1447","Salonae, bei","43.550092955,16.344609260",1,"43.550092955","16.344609260"
"1448","Salonae, bei","43.550124415,16.385330200",1,"43.550124415","16.385330200"
"1449","Salonae, bei","43.550212186,16.344702244",1,"43.550212186","16.344702244"
"1450","Salonae, bei","43.551153862,16.363323773",1,"43.551153862","16.363323773"
"1451","Salonae, bei","43.552666744,16.499977111",1,"43.552666744","16.499977111"
"1452","Salonae, bei","43.5535651,16.348308",1,"43.5535651","16.348308"
"1453","Salonae, bei","43.558850644,16.524068355",1,"43.558850644","16.524068355"
"1454","Salonae, bei","43.559363781,16.523979306",1,"43.559363781","16.523979306"
"1455","Salonae, bei","43.55944,16.51944",1,"43.55944","16.51944"
"1456","Salonae, bei","43.559690321,16.522235870",1,"43.559690321","16.522235870"
"1457","Salonae, bei","43.560149028,16.524260043",1,"43.560149028","16.524260043"
"1458","Salonae, bei","43.561195764,16.391117653",1,"43.561195764","16.391117653"
"1459","Salonae, bei","43.561361863,16.358385086",1,"43.561361863","16.358385086"
"1460","Salonae, bei","43.561970864,16.524256468",1,"43.561970864","16.524256468"
"1461","Salonae, bei","43.562405859,16.497878347",1,"43.562405859","16.497878347"
"1462","Salonae, bei","43.563103328,16.497859954",1,"43.563103328","16.497859954"
"1463","Salonae, bei","43.564155439,16.512032747",1,"43.564155439","16.512032747"
"1464","Salonae, bei","43.564549328,16.509582995",1,"43.564549328","16.509582995"
"1465","Salonae, bei","43.568537308,16.384429335",1,"43.568537308","16.384429335"
"1466","Salonae, bei","43.571063669,16.425290107",1,"43.571063669","16.425290107"
"1467","Salonae, bei","43.572955132,16.532285213",1,"43.572955132","16.532285213"
"1468","Salonae, bei","43.579840332,16.552646755",1,"43.579840332","16.552646755"
"1469","Salonae, bei","43.585053906,16.596972942",1,"43.585053906","16.596972942"
"1470","Salonae, bei","43.592407470,16.498148101",1,"43.592407470","16.498148101"
"1471","Salonae, bei","43.599312830,16.592026948",1,"43.599312830","16.592026948"
"1472","Salonae, bei","43.599724618,16.583862304",1,"43.599724618","16.583862304"
"1473","Salonae, bei","43.6092107,16.6462916",1,"43.6092107","16.6462916"
"1474","Salonae, bei","43.6639277,16.3717521",1,"43.6639277","16.3717521"
"1475","Salonae; Salonae bei","43.542039111,16.482807397",1,"43.542039111","16.482807397"
"1476","Salonae; Salonae, bei","43.540150,16.483461",1,"43.540150","16.483461"
"1477","Salthua","42.75,18.653329999",1,"42.75","18.653329999"
"1478","Salviae, bei","44.000819310,16.768116899",1,"44.000819310","16.768116899"
"1479","Salviae, bei","44.0726166,16.789406800",1,"44.0726166","16.789406800"
"1480","Salviae?","44.0726166,16.789406800",1,"44.0726166","16.789406800"
"1481","Scardona","43.817597676,15.923384693",1,"43.817597676","15.923384693"
"1482","Scardona","43.818200015,15.926305620",1,"43.818200015","15.926305620"
"1483","Scardona","43.818987235,15.921646623",1,"43.818987235","15.921646623"
"1484","Scardona","43.82028,15.92361",1,"43.82028","15.92361"
"1485","Scardona, bei","43.817746,15.922959000",1,"43.817746","15.922959000"
"1486","Scardona, bei","43.817902,15.923047",1,"43.817902","15.923047"
"1487","Scardona, bei","43.82028,15.92361",1,"43.82028","15.92361"
"1488","Scardona, bei","43.827777942,15.915405899",1,"43.827777942","15.915405899"
"1489","Scardona, bei","43.834274120,15.912194518",1,"43.834274120","15.912194518"
"1490","Scardona; Tragurium","43.822702888,15.920788316",1,"43.822702888","15.920788316"
"1491","Scodra","42.040719676,19.493007659",1,"42.040719676","19.493007659"
"1492","Scodra","42.058278666,19.553775787",1,"42.058278666","19.553775787"
"1493","Scodra","42.065570340,19.510247369",1,"42.065570340","19.510247369"
"1494","Scodra","42.06828,19.51258",1,"42.06828","19.51258"
"1495","Scodra, bei","42.120635949,19.599609374",1,"42.120635949","19.599609374"
"1496","Scodra?","42.074283000,19.527653000",1,"42.074283000","19.527653000"
"1497","Senia","44.986523316,14.903436899",1,"44.986523316","14.903436899"
"1498","Senia","44.990351444,14.902331829",1,"44.990351444","14.902331829"
"1499","Senia","44.990396970,14.902321100",1,"44.990396970","14.902321100"
"1500","Senia, bei","44.706619,14.8998112",1,"44.706619","14.8998112"
"1501","Senia, bei","44.977549547,15.008096694",1,"44.977549547","15.008096694"
"1502","Senia, bei","44.978257887,14.997351765",1,"44.978257887","14.997351765"
"1503","Senia, bei","45.120133593,14.798612598",1,"45.120133593","14.798612598"
"1504","Siculi, bei","43.530644727,16.300433278",1,"43.530644727","16.300433278"
"1505","Siculi, bei","43.544138865,16.323065757",1,"43.544138865","16.323065757"
"1506","Siculi, bei","43.555857260,16.283905506",1,"43.555857260","16.283905506"
"1507","Sidrona, bei","44.035947267,15.734579345",1,"44.035947267","15.734579345"
"1508","Sidrona, bei","44.084782806,15.761087359",1,"44.084782806","15.761087359"
"1509","Sidrona, bei","44.0995158,15.7896566",1,"44.0995158","15.7896566"
"1510","Sidrona, bei","44.135420248,15.748124990",1,"44.135420248","15.748124990"
"1511","Sidrona, bei","44.189786615,15.897457124",1,"44.189786615","15.897457124"
"1512","Solentia, insula","43.36958825,16.324962861",1,"43.36958825","16.324962861"
"1513","Solentia, insula","43.39167,16.28722",1,"43.39167","16.28722"
"1514","Solentia, insula","43.397217,16.275182",1,"43.397217","16.275182"
"1515","Solentia, insula","43.400058705,16.261365509",1,"43.400058705","16.261365509"
"1516","Solentia, insula?","43.3928111,16.2864792",1,"43.3928111","16.2864792"
"1517","Tarsatica","45.327311690,14.442118406",1,"45.327311690","14.442118406"
"1518","Tarsatica","45.327845622,14.438767177",1,"45.327845622","14.438767177"
"1519","Tilurium","43.614479769,16.714683522",1,"43.614479769","16.714683522"
"1520","Tilurium, bei","43.582701242,16.940089177",1,"43.582701242","16.940089177"
"1521","Tilurium, bei","43.5955543,16.730874500",1,"43.5955543","16.730874500"
"1522","Tilurium, bei","43.610340951,16.720082313",1,"43.610340951","16.720082313"
"1523","Tilurium, bei","43.611918530,16.712305206",1,"43.611918530","16.712305206"
"1524","Tilurium, bei","43.613496706,16.692621146",1,"43.613496706","16.692621146"
"1525","Tilurium, bei","43.614671559,16.728010922",1,"43.614671559","16.728010922"
"1526","Tilurium, bei","43.617194,16.726795",1,"43.617194","16.726795"
"1527","Tilurium, bei","43.619025699,16.723629800",1,"43.619025699","16.723629800"
"1528","Tilurium, bei","43.619805741,16.721165925",1,"43.619805741","16.721165925"
"1529","Tilurium, bei","43.6214423,16.800092199",1,"43.6214423","16.800092199"
"1530","Tragurium","43.515799355,16.250618527",1,"43.515799355","16.250618527"
"1531","Tragurium","43.515813248,16.250946521",1,"43.515813248","16.250946521"
"1532","Tragurium","43.515957185,16.251059174",1,"43.515957185","16.251059174"
"1533","Tragurium","43.515975,16.251023",1,"43.515975","16.251023"
"1534","Tragurium","43.516412334,16.250334978",1,"43.516412334","16.250334978"
"1535","Tragurium","43.516521258,16.251820921",1,"43.516521258","16.251820921"
"1536","Tragurium","43.516676205,16.251069184",1,"43.516676205","16.251069184"
"1537","Tragurium","43.517005858,16.251280648",1,"43.517005858","16.251280648"
"1538","Tragurium","43.518092226,16.250469088",1,"43.518092226","16.250469088"
"1539","Tragurium, bei","43.440456027,16.143035888",1,"43.440456027","16.143035888"
"1540","Tragurium, bei","43.442913197,16.151275634",1,"43.442913197","16.151275634"
"1541","Tragurium, bei","43.4892177,16.1085358",1,"43.4892177","16.1085358"
"1542","Tragurium, bei","43.498495519,16.092320680",1,"43.498495519","16.092320680"
"1543","Tragurium, bei","43.516654079,16.236750738",1,"43.516654079","16.236750738"
"1544","Tragurium, bei","43.517639000,16.250630000",1,"43.517639000","16.250630000"
"1545","Tragurium, bei","43.522601251,16.236001253",1,"43.522601251","16.236001253"
"1546","Tragurium, bei","43.527066524,16.109797954",1,"43.527066524","16.109797954"
"1547","Tragurium, bei","43.5285368,16.2837004",1,"43.5285368","16.2837004"
"1548","Tragurium, bei","43.530840744,16.226849555",1,"43.530840744","16.226849555"
"1549","Tragurium, bei","43.530940308,16.223373413",1,"43.530940308","16.223373413"
"1550","Tragurium, bei","43.539962616,16.209125518",1,"43.539962616","16.209125518"
"1551","Varvaria","43.925546195,15.842999389",1,"43.925546195","15.842999389"
"1552","Varvaria","43.925772496,15.843079090",1,"43.925772496","15.843079090"
"1553","Varvaria, bei","43.9088376,15.831384100",1,"43.9088376","15.831384100"
"1554","Varvaria, bei","43.922000900,15.843767200",1,"43.922000900","15.843767200"
"1555","Varvaria, bei","43.925534420,15.837682485",1,"43.925534420","15.837682485"
"1556","Varvaria, bei","43.929591296,15.812416343",1,"43.929591296","15.812416343"
"1557","Varvaria, bei","43.942653206,15.841426849",1,"43.942653206","15.841426849"
"1558","Varvaria?","43.922000900,15.843767200",1,"43.922000900","15.843767200"
