"EDCS-ID","publication","province","place","dating_from","dating_to","date_not_before","date_not_after","status","inscription","inscription_conservative_cleaning","inscription_interpretive_cleaning","material","comment","latitude","longitude","language","photo","partner_link","extra_text","extra_html","raw_dating","cleaned_place"
"EDCS-20601174","Legio-VII 00031 = AE 2000, 01174","Dalmatia","Bigeste","1","100","1","100","milites;  praenomen et nomen;  tituli sepulcrales;  viri","C(aius) Licinius C(ai) f(ilius) / Fab(ia) dom(o) Sinope / vete(ranus) leg(ionis) VII an(norum) L / stip(endiorum) XXVII / h(ic) s(itus) e(st) / heredes posuer(unt)","C Licinius C f Fab dom Sinope vete leg VII an L stip XXVII h s e heredes posuer","Caius Licinius Cai filius Fabia domo Sinope veteranus legionis VII annorum L stipendiorum XXVII hic situs est heredes posuerunt",NA,NA,"43.182222","17.528889","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-VII_00031.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD039805;lu_21455","","","1 to 100","Bigeste"
"EDCS-20601175","Legio-XV-Apo 00183 = AE 1979, 00445 = AE 2000, 01175","Dalmatia","Bigeste","14","37","14","37","milites;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Luc[3] / C(ai) f(ilius) Prim[us] / vete(ranus) leg(ionis) / XV Apolli/naris / h(ic) s(itus) e(st) / t(estamento) f(ieri) i(ussit)","L Luc C f Prim vete leg XV Apollinaris h s e t f i","Lucius Luc Cai filius Primus veteranus legionis XV Apollinaris hic situs est testamento fieri iussit","lapis",NA,"43.182222","17.528889","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$Legio-XV-Apo_00183.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD004491","","","14 to 37","Bigeste"
"EDCS-30000207","CIL 03, 09709","Dalmatia","Bihac / Raetinium","42","100","42","100","milites;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri","T(itus?) Octavius T(iti) f(ilius) / Vel(ina) Hister vet(eranus) / leg(ionis) XI C(laudiae) P(iae) F(idelis) t(estamento) f(ieri) i(ussit) et / Acrini contuber/nali / in f(ronte) ped(es) X / in agr(o) ped(es) XI","T Octavius T f Vel Hister vet leg XI C P F t f i et Acrini contubernali in f ped X in agr ped XI","Titus Octavius Titi filius Velina Hister veteranus legionis XI Claudiae Piae Fidelis testamento fieri iussit et Acrini contubernali in fronte pedes X in agro pedes XI",NA,NA,"44.8146409","15.8690863","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=ko0036606;HD058592","","","42 to 100","Raetinium"
"EDCS-30000208","CIL 03, 09710 (p 1475)","Dalmatia","Bihac / Raetinium","42","150","42","150","milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Pescennius / L(uci) f(ilius) Fal(erna) Satur/ninus vet(eranus) leg(ionis) / XI C(laudiae) P(iae) F(idelis) v(ivus) f(ecit) sibi et / Mariae Sp(uri) f(iliae) Quin/tae con[iugi] / be[ne merenti","L Pescennius L f Fal Saturninus vet leg XI C P F v f sibi et Mariae Sp f Quintae con bene merenti","Lucius Pescennius Luci filius Falerna Saturninus veteranus legionis XI Claudiae Piae Fidelis vivus fecit sibi et Mariae Spuri filiae Quintae coniugi bene merenti",NA,NA,"44.8146409","15.8690863","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058593","","","42 to 150","Raetinium"
"EDCS-32300075","CIL 03, 14329 = AHB p 438","Dalmatia","Bihac / Raetinium","71","150","71","150","milites;  tituli sepulcrales;  viri","]ANE[3] / [3]a Luc[3] / [3 leg(ionis) III] F(laviae) F(elicis) [","ANE a Luc F F","ANE a Luc legionis III Flaviae Felicis","lapis",NA,"44.8146409","15.8690863","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_14329.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD058874;lu_23781","","","71 to 150","Raetinium"
"EDCS-10000837","ILJug-02, 00825","Dalmatia","Bribir / Bribirska Glavica / Varvaria","1","100","1","100","milites;  ordo equester;  tituli honorarii;  tria nomina;  viri","] Cl(audia) Liburno / [3 pr]aef(ecto) coh(ortis) IIII / [3 praef(ecto)] coh(ortis) III Thrac(um) / [3]m trib(uno) mil(itum) leg(ionis) XXII / [3]m Aug(usta) P[r]aet(oria?)","Cl Liburno aef coh IIII coh III Thrac m trib mil leg XXII m Aug Paet","Claudia Liburno praefecto cohortis IIII praefecto cohortis III Thracum m tribuno militum legionis XXII m Augusta Praetoria",NA,NA,"43.9214921","15.8398106","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILJug-02_00825.jpg","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034376","","","1 to 100","Varvaria"
"EDCS-30200433","CIL 03, 14985 = ILJug-02, 00851 = Liburnia 00137","Dalmatia","Burnum","1","150","1","150","nomen singulare;  tituli sacri;  viri","Tytulius / Panentis / Sil/vano Do/mestico pos(uit)","Tytulius Panentis Silvano Domestico pos","Tytulius Panentis Silvano Domestico posuit","lapis",NA,"44.0183606","16.0181762","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD034398;lu_23078;bu_ILJug%26bibl_volume=2%26bibl_subvolume=%26bibl_insc=851","","","1 to 150","Burnum"
"EDCS-30200434","CIL 03, 14997,2 = ILJug-03, 02813 = AE 1903, 00304","Dalmatia","Burnum","1","42","1","42","milites;  tituli sepulcrales;  tria nomina;  viri","M(arcus) Domitius / M(arci) f(ilius) Fabia Sev/erus Brix{s}ia / miles leg(ionis) XI / ann(orum) XXX / stip(endiorum) VIII h(ic) s(itus) e(st) / heres posuit","M Domitius M f Fabia Severus Brixsia miles leg XI ann XXX stip VIII h s e heres posuit","Marcus Domitius Marci filius Fabia Severus Brixia miles legionis XI annorum XXX stipendiorum VIII hic situs est heres posuit","lapis",NA,"44.0183606","16.0181762","","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_14997-2_1.jpg;$M_CIL_03_14997-2_2.jpg;$AE_1903_00304.jpg;pp","http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD031512;lu_23214;1ae1903-69;bu_ILJug%26bibl_volume=3%26bibl_subvolume=%26bibl_insc=2813","","","1 to 42","Burnum"
"EDCS-31200487","CIL 03, 15002","Dalmatia","Burnum","1","100","1","100","milites;  tituli sepulcrales;  viri","]GII[3] / [3] qui Rega[liano(?)] / [3] A[u]g(usto) Ne[meto] / [3] mil(es) leg(ionis) I[3] / [h(ic)] s(itus) e(st)","GII qui Rega Ag Ne mil leg I s e","GII qui Regaliano Augusto Nemeto miles legionis I hic situs est",NA,NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD061354","","","1 to 100","Burnum"
"EDCS-30200435","CIL 03, 15003 = ILJug-03, 02821","Dalmatia","Burnum","1","50","1","50","milites;  nomen singulare;  tituli sepulcrales;  viri","Remmo / Saeconis / f(ilius) mil(es) coh(ortis) / Mont(anorum) ann(orum) / [","Remmo Saeconis f mil coh Mont ann","Remmo Saeconis filius miles cohortis Montanorum annorum","lapis",NA,"44.0183606","16.0181762","",NA,"http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD035403","","","1 to 50","Burnum"
