"EDCS-ID","publication","province","place","cleaned_place","dating_from","dating_to","status","inscription","inscription_interpretive_cleaning","latitude","longitude","photo"
"EDCS-30000207","CIL 03, 09709","Dalmatia","Bihac / Raetinium","Raetinium","42","100","milites;  nomen singulare;  tituli sepulcrales;  tria nomina;  viri","T(itus?) Octavius T(iti) f(ilius) / Vel(ina) Hister vet(eranus) / leg(ionis) XI C(laudiae) P(iae) F(idelis) t(estamento) f(ieri) i(ussit) et / Acrini contuber/nali / in f(ronte) ped(es) X / in agr(o) ped(es) XI","Titus Octavius Titi filius Velina Hister veteranus legionis XI Claudiae Piae Fidelis testamento fieri iussit et Acrini contubernali in fronte pedes X in agro pedes XI","44.8146409","15.8690863",NA
"EDCS-30000208","CIL 03, 09710 (p 1475)","Dalmatia","Bihac / Raetinium","Raetinium","42","150","milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Pescennius / L(uci) f(ilius) Fal(erna) Satur/ninus vet(eranus) leg(ionis) / XI C(laudiae) P(iae) F(idelis) v(ivus) f(ecit) sibi et / Mariae Sp(uri) f(iliae) Quin/tae con[iugi] / be[ne merenti","Lucius Pescennius Luci filius Falerna Saturninus veteranus legionis XI Claudiae Piae Fidelis vivus fecit sibi et Mariae Spuri filiae Quintae coniugi bene merenti","44.8146409","15.8690863",NA
"EDCS-32300075","CIL 03, 14329 = AHB p 438","Dalmatia","Bihac / Raetinium","Raetinium","71","150","milites;  tituli sepulcrales;  viri","]ANE[3] / [3]a Luc[3] / [3 leg(ionis) III] F(laviae) F(elicis) [","ANE a Luc legionis III Flaviae Felicis","44.8146409","15.8690863","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$CIL_03_14329.jpg;pp"
"EDCS-10000837","ILJug-02, 00825","Dalmatia","Bribir / Bribirska Glavica / Varvaria","Varvaria","1","100","milites;  ordo equester;  tituli honorarii;  tria nomina;  viri","] Cl(audia) Liburno / [3 pr]aef(ecto) coh(ortis) IIII / [3 praef(ecto)] coh(ortis) III Thrac(um) / [3]m trib(uno) mil(itum) leg(ionis) XXII / [3]m Aug(usta) P[r]aet(oria?)","Claudia Liburno praefecto cohortis IIII praefecto cohortis III Thracum m tribuno militum legionis XXII m Augusta Praetoria","43.9214921","15.8398106","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$ILJug-02_00825.jpg"
"EDCS-30200433","CIL 03, 14985 = ILJug-02, 00851 = Liburnia 00137","Dalmatia","Burnum","Burnum","1","150","nomen singulare;  tituli sacri;  viri","Tytulius / Panentis / Sil/vano Do/mestico pos(uit)","Tytulius Panentis Silvano Domestico posuit","44.0183606","16.0181762","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=pp"
"EDCS-30200434","CIL 03, 14997,2 = ILJug-03, 02813 = AE 1903, 00304","Dalmatia","Burnum","Burnum","1","42","milites;  tituli sepulcrales;  tria nomina;  viri","M(arcus) Domitius / M(arci) f(ilius) Fabia Sev/erus Brix{s}ia / miles leg(ionis) XI / ann(orum) XXX / stip(endiorum) VIII h(ic) s(itus) e(st) / heres posuit","Marcus Domitius Marci filius Fabia Severus Brixia miles legionis XI annorum XXX stipendiorum VIII hic situs est heres posuit","44.0183606","16.0181762","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_14997-2_1.jpg;$M_CIL_03_14997-2_2.jpg;$AE_1903_00304.jpg;pp"
"EDCS-31200487","CIL 03, 15002","Dalmatia","Burnum","Burnum","1","100","milites;  tituli sepulcrales;  viri","]GII[3] / [3] qui Rega[liano(?)] / [3] A[u]g(usto) Ne[meto] / [3] mil(es) leg(ionis) I[3] / [h(ic)] s(itus) e(st)","GII qui Regaliano Augusto Nemeto miles legionis I hic situs est","44.0183606","16.0181762",NA
"EDCS-30200435","CIL 03, 15003 = ILJug-03, 02821","Dalmatia","Burnum","Burnum","1","50","milites;  nomen singulare;  tituli sepulcrales;  viri","Remmo / Saeconis / f(ilius) mil(es) coh(ortis) / Mont(anorum) ann(orum) / [","Remmo Saeconis filius miles cohortis Montanorum annorum","44.0183606","16.0181762",NA
"EDCS-31200488","CIL 03, 15004 (p 2328,114)","Dalmatia","Burnum","Burnum","42","69","milites;  mulieres;  tituli sepulcrales;  tria nomina;  viri","M(arcus) Valerius / Liberalis / m(iles) leg(ionis) XI Cl(audiae) P(iae) F(idelis) / an(n)oru(m) XIIX st(ipendiorum) II / domu Cl(audia) Aequo / mater M(arci) viro et / sib(i) et filio","Marcus Valerius Liberalis miles legionis XI Claudiae Piae Fidelis annorum XIIX stipendiorum II domu Claudia Aequo mater Marci viro et sibi et filio","44.0183606","16.0181762","http://db.edcs.eu/epigr/bilder.php?bilder.php?s_language=en&bild=$M_CIL_03_15004_1.jpg;$M_CIL_03_15004_2.jpg;pp"
"EDCS-31200489","CIL 03, 15004a (p 2328,114)","Dalmatia","Burnum","Burnum","42","69","milites;  mulieres;  ordo equester;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Val(erius) Maximus Va/lerio Proclo ann(orum) IXXX / leg(ionis) XI C(laudiae) P(iae) F(idelis) d(imisso) [h(onesta) m(issione) e]t Val/giae vet(?) en[3 V]aleriae / Proclinae nepti / Annucu[3] <e=F>(gregiae) m(emoriae) v(ir) / p(ie) f(ecit)","Lucius Valerius Maximus Valerio Proclo annorum IXXX legionis XI Claudiae Piae Fidelis dimisso honesta missione et Valgiae vet en Valeriae Proclinae nepti Annucu egregiae memoriae vir pie fecit","44.0183606","16.0181762",NA
