"","attribute_name","dataset_source","attribute_source","created_by_script","data_type","description"
"54","type_of_inscription","EDH","https://edh-www.adw.uni-heidelberg.de/data/api","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb","character","Classification of an inscription. https://edh-www.adw.uni-heidelberg.de/hilfe/liste/inschriftgattung"
"55","type_of_inscription_auto","SDAM","based on attribute type_of_inscription_clean from EDH and status in EDCS","https://github.com/sdam-au/LI_ETL/blob/master/scripts","character","Resampled type of inscription, based on types of inscriptions used in EDH, but applied through machine learning (Support Vector Machine) to EDCS dataset (status attribute), to standardize two distinct typological systems into one. One type of inscription is applied with the highest computed probability."
"56","type_of_inscription_auto_prob","SDAM","based on attribute type_of_inscription_clean from EDH and status in EDCS","https://github.com/sdam-au/LI_ETL/blob/master/scripts","numeric","Probablity (0-1 values with 1 representing 100% probability) of the resampled type of inscription in attribute type_of_inscription_auto, based on types of inscriptions used in EDH, but applied through machine learning classificators to EDCS dataset (status attribute), to standardize two distinct typological systems into one. The most probable type of inscription from is applied."
"57","type_of_inscription_certainty","EDH","EDH_merged_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd","bool","Certainty measure for type of inscription, extracted from ? present in the original attribute"
"58","type_of_inscription_clean","EDH","EDH_merged_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd","character","Cleaned type of inscription, without additional symbols, such as ?"
"59","type_of_monument_certainty","EDH","EDH_merged_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd","bool","Certainty measure for type of monument, extracted from ? present in the original attribute"
"60","type_of_monument_clean","EDH","EDH_merged_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd","character","Cleaned type of monument, without additional symbols, such as ?"
"61","urban_context","SDAM","based on Hanson 2016 and Hanson 2019, Hanson2016_Cities_OxREP.csv, https://github.com/sdam-au/LI_ETL/blob/master/scripts/1_ROMAN-CITIES.ipynb","https://github.com/sdam-au/LI_ETL/blob/master/scripts","character","Whether within a 5K buffer of a large city (population estimate higher than 30,000), medium city (population est. between 29,999 and 5000), or small city (pop. est. smaller than 5,000), or out of reach of any of them. If more cities are nearby, the bigger has preference. Cities from Hanson 2016."
"62","urban_context_city","SDAM","based on Hanson 2016 and Hanson 2019, Hanson2016_Cities_OxREP.csv, https://github.com/sdam-au/LI_ETL/blob/master/scripts/1_ROMAN-CITIES.ipynb","https://github.com/sdam-au/LI_ETL/blob/master/scripts","character","Name (ancient toponym) of the city determining the urban context. Cities from Hanson 2016."
"63","urban_context_pop_est","SDAM","based on Hanson 2016 and Hanson 2019, Hanson2016_Cities_OxREP.csv, https://github.com/sdam-au/LI_ETL/blob/master/scripts/1_ROMAN-CITIES.ipynb","https://github.com/sdam-au/LI_ETL/blob/master/scripts","character","Estimated population of a city from Hanson 2016, 2019 http://oxrep.classics.ox.ac.uk/databases/cities/"
"64","width_cm","EDH","EDH_merged_[timestamp].json","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_4_r_DATASET_ATTRIBUTES_CLEANING.Rmd","numeric","Cleaned maximum width in cm, saved as numeric without units"
"65","work_status","EDH","https://edh-www.adw.uni-heidelberg.de/data/api","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_1_py_EXTRACTION_edh-inscriptions-from-web-api.ipynb","character","The evidence used for verifying the readings are indicated in the „work status"" field; provisionally finished inscriptions (e.g. from regions, which are not the focus of systematic entry into EDH) are thus also easy to recognise as such for the user."
"66","year_of_find","EDH","https://edh-www.adw.uni-heidelberg.de/data/api","https://github.com/sdam-au/EDH_ETL/blob/master/scripts/1_2_py_EXTRACTION_edh-xml_files.ipynb","character","Year of the find, YYYY format."
