"","place"
"230","Ljubovija"
"231","Ljubuski / Mlade / Bigeste"
"232","Ljusina"
"233","Lopud"
"234","Lovorno / Epidaurum"
"235","Lucin Brijeg"
"236","Lukavac"
"237","Luzac"
"238","Luzani"
"239","Mackat"
"240","Majdan"
"241","Makarska"
"242","Makljenovac"
"243","Mali Kablici / Delminium"
"244","Mali Losinj / Apsorus"
"245","Mali Mosunj / Stanecli"
"246","Malo Polje / Domavium"
"247","Manastirine / Salona"
"248","Margegaj"
"249","Martincev, Vrgorac"
"250","Maslovare"
"251","Medak / Avendo"
"252","Medvida / Medvigge / Hadra / Sidrona"
"253","Melgushe e Madhe / Melgushe"
"254","Metkovic / Narona"
"255","Mljet / Meleda / Melite"
"256","Mogorjelo"
"257","Mokro Polje / Burnum"
"258","Mokronoge / Delminium"
"259","Mramorje, Cokori"
"260","Mratovo / Burnum"
"261","Mrduja"
"262","Mrkonjic Grad / Varcar Vakuf / Leusaba"
"263","Munjava / Metulum"
"264","Murter"
"265","Nadin / Nedinum"
"266","Nange"
"267","Negrisori / Municipium Malvesatium"
"268","Neum, Vranjevo Selo / Narona"
"269","Niksic / Mons Nigia / Anderva"
"270","Nin / Aenona"
"271","Nova Varos"
"272","Novalja"
"273","Novi Grad"
"274","Novi Vinodolski"
"275","Obadi / Domavium"
"276","Obrovac / Clambetae"
"277","Ocrkavlje / Municipium Splonistarum"
"278","Oklaj"
"279","Omis / Almissa / Oneum / Onaeum"
"280","Omisalj / Fulfinum"
"281","Omsica"
"282","Orepak, Crnici"
"283","Orlic"
"284","Osor / Opsorus"
"285","Ostrovica / Alveria"
"286","Ostrozac"
"287","Otavice / Municipium Magnum"
"288","Otilovici"
"289","Otinovci / Ad Matricem / Delminium"
"290","Otisic"
"291","Otocac / Ottoschatz / Avendo"
"292","Ozrinici"
"293","Pag"
"294","Pag, Otok"
"295","Panik / Leusinium"
"296","Pankovic"
"297","Pazaric"
"298","Pazdigrad / Pazdigrada / Salona"
"299","Peci"
"300","Pecina"
"301","Perast / Risinium"
"302","Perun"
"303","Planicnik"
"304","Pljevlja / Komini / Municipium Splonistarum"
"305","Ploce / Amantia"
"306","Plomin / Flanona"
"307","Pocitelj"
"308","Podastinje"
"309","Podbablje Gornje"
"310","Podgora"
"311","Podgorica / Doclea"
"312","Podgrade / Asseria"
"313","Podgradina / Municipium Salvium"
"314","Podlapaca / Hallaj"
"315","Podstrana / Pituntium"
"316","Polace / Melite"
"317","Polimlje"
"318","Polje Bijela"
"319","Poljica-Brig / Brig"
"320","Popovici"
"321","Povija"
"322","Povlja"
"323","Pozega"
"324","Prcanj / Acruvium"
"325","Prenj"
"326","Prevlaka"
"327","Priboj / Opstina Priboj"
"328","Pridraga / Corinium"
"329","Prijedor"
"330","Prijepolje / Municipium Splonistarum"
"331","Prilipac"
"332","Prisoje / Delminium"
"333","Pritoka / Raetinium"
"334","Proboj"
"335","Prolog / In Alperio / Delminium"
"336","Promajna"
"337","Prozor / Arupium"
"338","Prozor / Prozor-Rama / Bistua Vetus"
"339","Prud"
"340","Puljane / Pugliane / Burnum"
"341","Punta Kriza"
"342","Rab, Otok / Arba"
"343","Radoinja"
"344","Ramljane / Municipium Magnum"
"345","Rasici"
"346","Raslina"
"347","Rastevic / Nedinum"
"348","Renc"
"349","Resanovci"
"350","Ribic / Raetinium"
"351","Rijeka / Tarsatica"
"352","Risan / Risano / Risinium"
"353","Rogatica / Ris[]"
"354","Roski slap"
"355","Rudo / Municipium Malvesatium"
"356","Ruduse / Rudusa"
"357","Runovici / Runovic / Novae"
"358","Rupotine / Rupotina / Salona"
"359","Ruzic / Balijna Glavica / Municipium Magnum"
"360","Sarajevo / Aquae S[]"
"361","Sarajlije / Delminium"
"362","Scepan Krst"
"363","Scit"
"364","Seget Donji / Tragurium"
"365","Seljane"
"366","Seljasnica"
"367","Senj / Segna / Zengg / Senia"
"368","Shkoder / Shkodra / Skutari / Scodra"
"369","Sibenik / Rider"
"370","Sinj / Osinium"
"371","Sipovo / Baloie"
"372","Siroka Kula"
"373","Sitarice"
"374","Skabrnja / Nedinum"
"375","Skelani / Municipium Malvesatium"
"376","Skradin / Scardona"
"377","Skrip / Brattia"
"378","Smokovljani / Smocovljae"
"379","Smoljana"
"380","Solin / Salona"
"381","Solta, Otok / Solentia"
"382","Sovici"
"383","Split / Spalatum"
"384","Srebrenica / Domavium"
"385","Srednja Gora"
"386","Srinjine / Pituntium"
"387","Stari Grad / Argyruntum"
"388","Stari Majdan"
"389","Stari Ras / Ras"
"390","Staro Selo"
"391","Stipanici / Stipanjici"
"392","Stobrec / Epetino / Epetium"
"393","Stolac / Rotimlja / Megjina / Diluntum"
"394","Ston"
"395","Stranjani"
"396","Strmca / Stermizza / Burnum"
"397","Suhaca / Delminium"
"398","Suica / Delminium"
"399","Suplja crkva"
"400","Surmanci"
"401","Sveti Juraj / Lopsica"
"402","Svitava"
"403","Takovo"
"404","Tasovcici / Narona / Ad Turres"
"405","Tepljuh / Promona"
"406","Tihaljina"
"407","Tomislavgrad / Duvno / Zupanjac / Delminium"
"408","Travnik"
"409","Trebinje"
"410","Trebizat"
"411","Trgoviste"
"412","Trijebanj"
"413","Trilj / Tilurium"
"414","Trogir / Tragurium"
"415","Trpanj"
"416","Trsat / Tersatto / Tarsatica"
"417","Trsteno / Cannosa"
"418","Tubici"
"419","Tucepi"
"420","Tuckovo"
"421","Turbe"
"422","Udbina"
"423","Udreznje"
"424","Umljanovic / Municipium Magnum"
"425","Ustikolina"
"426","Uzdolje"
"427","Uzice"
"428","Uzovnica"
"429","Vagan"
"430","Vau i Dejes / Vau-Deja"
"431","Vele Srakane / Canidole Grande"
"432","Veli Bijac / Bijaci / Bijaca / Siculi"
"433","Velic"
"434","Velika Kladusa"
"435","Velika Kopanica / Kopjenica"
"436","Vid / Narona"
"437","Vig"
"438","Viganj"
"439","Vina"
"440","Vinalic"
"441","Vis / Issa"
"442","Visegrad / Municipium Malvesatium"
"443","Visibaba"
"444","Visoka"
"445","Visoki"
"446","Vitalj, Otocac / Arupium"
"447","Vitez"
"448","Vitina"
"449","Vogosca"
"450","Vojnic Sinjski / Tilurium"
"451","Voljevac"
"452","Vrana"
"453","Vranjic / Vragnizza / Salona"
"454","Vratnik"
"455","Vrba / Municipium Salvium"
"456","Vrebac / Ancus"
"457","Vrgorac / Vergorazza / Vergoratz"
"458","Vrlika / Vrlica / Salona"
"459","Vrtoce"
"460","Vrutci"
"461","Zabrde"
"462","Zadar / Iader"
"463","Zaostrog / Zastrogh"
"464","Zenica"
"465","Zivogosce"
