"EDCS-ID","publication","province","place","cleaned_place","dating_from","dating_to","status","inscription","inscription_interpretive_cleaning","latitude","longitude"
"EDCS-27900023","CIL 03, 02275","Dalmatia","Solin / Salona","Salona","1","150","mulieres;  tituli sepulcrales;  tria nomina","Cassia / Constantil/la Cassiae Se/cundae matri / posuit / in f(ronte) p(edes) IV in ag(ro) p(edes) V","Cassia Constantilla Cassiae Secundae matri posuit in fronte pedes IV in agro pedes V","43.5441591","16.4919213"
"EDCS-27900025","CIL 03, 02277 (p 1031) = CIL 03, 08617","Dalmatia","Solin / Salona","Salona","1","150","liberti/libertae;  mulieres;  praenomen et nomen;  tituli operum;  tituli sepulcrales;  tria nomina;  viri","C(aio) Calenio P(ubli) fil(io) et patrono / C(aius) Calenius Demetrius / et / Calenius Primus / et / Calenia Tusca / b(ene) m(erenti) / amici optimi avete / et valete / felix lapis","Caio Calenio Publi filio et patrono Caius Calenius Demetrius et Calenius Primus et Calenia Tusca bene merenti amici optimi avete et valete felix lapis","43.5441591","16.4919213"
"EDCS-27900049","CIL 03, 02301","Dalmatia","Solin / Salona","Salona","51","150","tituli sepulcrales;  tria nomina;  viri","] Curio Inc[3] / [3] Curio Sec[3] / [3] C(aio) Curio Ami[3] / [3]PIE SYNTY[","Curio Inc Curio Sec Caio Curio Ami PIE SYNTY","43.5441591","16.4919213"
"EDCS-27900060","CIL 03, 02312","Dalmatia","Solin / Salona","Salona","1","150","tituli sepulcrales;  viri","]ennio[","ennio","43.5441591","16.4919213"
"EDCS-27900065","CIL 03, 02317 (p 1509)","Dalmatia","Solin / Salona","Salona","1","150","mulieres;  tituli sepulcrales;  tria nomina","po]suit / [3]o in f(ronte) p(edes) VIII uncias IIII / [3]V L(ucia) Eutychia / [3] in a(gro) p(edes) XXV","posuit o in fronte pedes VIII uncias IIII V Lucia Eutychia in agro pedes XXV","43.5441591","16.4919213"
"EDCS-27900069","CIL 03, 02321","Dalmatia","Solin / Salona","Salona","1","150","liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri","Feresiae Q(uinti) et C(ai) l(ibertae) Sperat(a)e / Q(uintus) Feresius Q(uinti) l(ibertus) Chrestus / fecit et [","Feresiae Quinti et Cai libertae Speratae Quintus Feresius Quinti libertus Chrestus fecit et","43.5441591","16.4919213"
"EDCS-27900071","CIL 03, 02323 = CIL 03, 09078 = AE 2018, +01274","Dalmatia","Solin / Salona","Salona","1","150","tituli sepulcrales;  viri","]AFA[3]LA[3] / Firmanus hic situs / est","AFA LA Firmanus hic situs est","43.5441591","16.4919213"
"EDCS-27900087","CIL 03, 02340 = ILJug-03, 02677a02","Dalmatia","Solin / Salona","Salona","1","150","liberti/libertae;  tria nomina;  viri","C(aius) Fuficius C(ai) l(ibertus) / Sabinus","Caius Fuficius Cai libertus Sabinus","43.5441591","16.4919213"
"EDCS-27900088","CIL 03, 02341 = CIL 03, 08623 = CLE 01204","Dalmatia","Solin / Salona","Salona","1","150","carmina;  mulieres;  tituli operum;  tituli sacri;  tituli sepulcrales;  tria nomina","Fuficia Agre / crudeles Parcae / nimium matercula / dicit quoius in hoc / tumulo filia parva / iacet debueram / prius ipsa mori sed / numina vestra qui / coluere cadunt neg/lexere manent in/fernae vobis commen[d]/o virtute satactam / circu hoc tumul[um quae] / cinis occu[buit] / [3]S[","Fuficia Agre crudeles Parcae nimium matercula dicit quoius in hoc tumulo filia parva iacet debueram prius ipsa mori sed numina vestra qui coluere cadunt neglexere manent infernae vobis commendo virtute satactam circu hoc tumulum quae cinis occubuit S","43.5441591","16.4919213"
"EDCS-27900091","CIL 03, 02343a (p 1509)","Dalmatia","Solin / Salona","Salona","1","150","liberti/libertae;  mulieres;  tituli sepulcrales;  tria nomina;  viri","] / Sex(tus) Gellius / Primus et / Caetennia / Artimisia / Gelliae Ursae / lib(ertae) suae bene / meritae posu/erunt an(norum) XX / h(ic) s(itus) e(st)","Sextus Gellius Primus et Caetennia Artimisia Gelliae Ursae libertae suae bene meritae posuerunt annorum XX hic situs est","43.5441591","16.4919213"
