"EDCS-ID","publication","province","place","cleaned_place","dating_from","dating_to","status","inscription","inscription_interpretive_cleaning","latitude","longitude"
"EDCS-30200436","CIL 03, 15005,1 = ILJug-03, 02815","Dalmatia","Burnum","Burnum","42","69","milites;  tituli sepulcrales;  tria nomina;  viri","[L(uci) V]iri L(uci) f(ilii) Pob(lilia) / Novici Vero(na) / mil(itis) leg(ionis) XI C(laudiae) P(iae) F(idelis) / |(centuria) Aquili Fro(ntonis) / stip(endiorum) XXII / h(eres) f(aciendum) c(uravit)","Luci Viri Luci filii Poblilia Novici Verona militis legionis XI Claudiae Piae Fidelis centuria Aquili Frontonis stipendiorum XXII heres faciendum curavit","44.0183606","16.0181762"
"EDCS-31200501","CIL 03, 15010a","Dalmatia","Burnum","Burnum","1","150","mulieres;  tituli sepulcrales;  viri","[3] Quin[t 3] / P(ublius) Quin[t 3] / coniu[gi","Quint Publius Quint coniugi","44.0183606","16.0181762"
"EDCS-31200504","CIL 03, 15013","Dalmatia","Burnum","Burnum","1","150","mulieres;  nomen singulare;  tituli sepulcrales;  viri","Sura Gemelli / sibi et suis / [","Sura Gemelli sibi et suis","44.0183606","16.0181762"
"EDCS-31200507","CIL 03, 15014a","Dalmatia","Burnum","Burnum","1","150","tituli sepulcrales","]NSII[3] / [3 ex testa]ment(o) f[ecit(?)","NSII ex testamento fecit","44.0183606","16.0181762"
"EDCS-31200514","CIL 03, 15017a","Dalmatia","Burnum","Burnum","1","150","tituli operum;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Vibius / Max(imus) / t(itulum) pos(u)i(t) / Proclii / Cili a(nnorum) II","Lucius Vibius Maximus titulum posuit Proclii Cili annorum II","44.0183606","16.0181762"
"EDCS-31200515","CIL 03, 15018 = Liburnia 00113","Dalmatia","Burnum","Burnum","1","150","tituli sacri;  tria nomina;  viri","[L(ucius) Do]mitiu[s] / [3 R]ufus / [L]atrae / v(otum) s(olvit) l(ibens) m(erito)","Lucius Domitius Rufus Latrae votum solvit libens merito","44.0183606","16.0181762"
"EDCS-31200516","CIL 03, 15019 = Liburnia 00114","Dalmatia","Burnum","Burnum","1","150","tituli sacri;  tria nomina;  viri","<L=I>(ucius) Dom[itius] / Ru[fus","Lucius Domitius Rufus","44.0183606","16.0181762"
"EDCS-31200521","CIL 03, 15024","Dalmatia","Burnum","Burnum","1","70","milites;  tituli operum;  tria nomina;  viri","T(itus) Iulius / T(iti) f(ilius) Cla(udia) / C[el]er / [3 l]eg(ionis) II Aug(usta) / [ar]am ex / [HS] XX(milibus) test(amento) / f[ier]i iussit","Titus Iulius Titi filius Claudia Celer legionis II Augusta aram ex HS XXmilibus testamento fieri iussit","44.0183606","16.0181762"
"EDCS-31200524","CIL 03, 15027 = ILJug-03, 02834","Dalmatia","Burnum","Burnum","51","100","ordo decurionum;  sacerdotes pagani;  tituli operum;  viri","] dec(urio) augur porticum / t(estamento) f(ieri) i(usiit) ex HS LXXX(milibus)","decurio augur porticum testamento fieri iusiit ex HS LXXXmilibus","44.0183606","16.0181762"
"EDCS-31200525","CIL 03, 15028","Dalmatia","Burnum","Burnum","1","150","milites;  mulieres;  ordo decurionum;  tituli sepulcrales;  tria nomina;  viri","de]curi[oni 3] / [3 Arr]untia(?) [3] / [Flore]ntin[a(?)","decurioni Arruntia Florentina","44.0183606","16.0181762"
"EDCS-31200527","CIL 03, 15029a","Dalmatia","Burnum","Burnum","1","150","tituli sepulcrales;  tria nomina;  viri","L(ucius) Antes[tius] / L(uci) f(ilius) Secun[dus] / [","Lucius Antestius Luci filius Secundus","44.0183606","16.0181762"
"EDCS-31200528","CIL 03, 15029b","Dalmatia","Burnum","Burnum","1","150","tituli sepulcrales;  tria nomina;  viri","C(aio) Arrun/tio Celeri / C(aius) Arrunt/{t}ius Seda/tus pater","Caio Arruntio Celeri Caius Arruntius Sedatus pater","44.0183606","16.0181762"
"EDCS-31200531","CIL 03, 15031","Dalmatia","Burnum","Burnum","1","100","mulieres;  tituli sepulcrales;  tria nomina","Caesiae / T(iti) f(iliae) Tert<u=Y>llinae","Caesiae Titi filiae Tertullinae","44.0183606","16.0181762"
"EDCS-31200534","CIL 03, 15033","Dalmatia","Burnum","Burnum","1","150","mulieres;  tituli sepulcrales;  tria nomina;  viri","Tito / Laelio / Maximo / an(norum) XIX Rosi[a] / Severa mater / f(ecit) p(ie)","Tito Laelio Maximo annorum XIX Rosia Severa mater fecit pie","44.0183606","16.0181762"
"EDCS-31200538","CIL 03, 15036a","Dalmatia","Burnum","Burnum","71","130","mulieres;  tituli sepulcrales;  tria nomina;  viri","C(aio) Oppio / C(ai) f(ilio) Cla(udia) / Clementi / Rusticel[lo(?)] / an(norum) XVI Baebi[a] / T(iti) f(ilia) Oppia mat[er] f(ilio) p(osuit)","Caio Oppio Cai filio Claudia Clementi Rusticello annorum XVI Baebia Titi filia Oppia mater filio posuit","44.0183606","16.0181762"
"EDCS-31200545","CIL 03, 15039","Dalmatia","Burnum","Burnum","1","150","tituli sepulcrales","]cenon[3] / [3 e]t sibi p[osuit // ]BRE[ // ]IDI[","cenon et sibi posuit BRE IDI","44.0183606","16.0181762"
"EDCS-30101159","AE 2003, 01328","Dalmatia","Gardun / Tilurium","Tilurium","1","100","tituli sacri","Gen[io] / [","Genio","43.6099573","16.7139587"
"EDCS-28300034","CIL 03, 02708 = CIL 03, 09725","Dalmatia","Gardun / Tilurium","Tilurium","9","69","milites;  praenomen et nomen;  tituli sepulcrales;  tria nomina;  viri","L(ucius) Allius L(uci) f(ilius) Fabia / signif(er) leg(ionis) XI / annor(um) XXX stip(endiorum) X / h(ic) s(itus) e(st) / L(ucius) Statienus L(uci) f(ilius) Fabia / Catulus pos(uit)","Lucius Allius Luci filius Fabia signifer legionis XI annorum XXX stipendiorum X hic situs est Lucius Statienus Luci filius Fabia Catulus posuit","43.6099573","16.7139587"
