"","findspot_ancient_clean","Longitude","Latitude","n"
"198","NULL",18.1189478,44.1301029,2
"199","NULL",18.1520712,43.7874012,2
"200","NULL",18.2177461,42.5814314,2
"201","NULL",18.6223041,43.5142306,2
"202","NULL",18.870278,44.086667,2
"203","NULL",18.9488746,42.7739559,2
"204","NULL",19.0036379,42.6779284,2
"205","NULL",19.3416603,44.2459418,2
"206","NULL",19.4107265,42.2043216,2
"207","NULL",19.5230742,43.5839721,2
"208","NULL",19.7176308,43.2309869,2
"209","NULL",19.7469527,43.0337081,2
"210","NULL",19.9564933,43.9733296,2
"211","Risinium",18.6945,42.5164,2
"212","Salonae",16.3977809,43.9096687,2
"213","Ad Dianam (Salonae)",16.3891,43.5085,1
"214","Ad Turres",14.6942,45.1716,1
"215","Ad Turres",17.625,43.0801,1
"216","Aequum - Tilurium, bei",16.6547,43.7423,1
"217","Ancus - Ausancalio",15.5014,44.5265,1
"218","Ansium - Corinium",15.666,44.179,1
"219","Aquae S(---)",18.3426533,43.9016526,1
"220","Aquae S[...]",18.2991,43.8313,1
"221","Asseria - Corinium",15.6844,44.0103,1
"222","Bigeste - Narona",17.5271,43.1818,1
"223","Biriciana",10.9632,49.0304,1
"224","Brattia, insula",16.8377033,43.3331922,1
"225","Corinium",15.7481,44.1354,1
"226","Decimin",16.6534966,43.7425382,1
"227","Delminium",17.0825198,43.6908323,1
"228","Hedum Castellum Daesitiatium",18.2782592,43.9902346,1
"229","Laurento",17.0580946,43.2651336,1
"230","Melite, insula",17.377878,42.7854655,1
"231","Melite, insula",17.5463244,42.7459754,1
"232","Municipium Malvesatium",19.5333,43.9667,1
"233","NULL",11.8734455,45.4077172,1
"234","NULL",14.1379004,45.1754015,1
"235","NULL",14.1801746,45.1380212,1
"236","NULL",14.3162906,44.5759408,1
"237","NULL",14.3927571,44.6935722,1
"238","NULL",14.8998112,44.706619,1
"239","NULL",15.0728046,44.5277802,1
"240","NULL",15.2356029,44.8688525,1
"241","NULL",15.2647929,44.8499897,1
"242","NULL",15.2753538,44.716409,1
"243","NULL",15.2789,44.8428,1
"244","NULL",15.3220745,43.805438,1
"245","NULL",15.5061682,43.9082968,1
"246","NULL",15.5074982,45.1620908,1
"247","NULL",15.6125528,44.0333509,1
"248","NULL",15.6314144,44.5836375,1
"249","NULL",15.6492241,44.4605051,1
"250","NULL",15.671934,44.5093655,1
"251","NULL",15.8070634,45.1854105,1
"252","NULL",15.8398106,43.9214921,1
"253","NULL",15.8465272,44.2985234,1
"254","NULL",15.8964835,43.7337065,1
"255","NULL",15.9051,43.8892,1
"256","NULL",15.9415463,43.8521087,1
"257","NULL",15.9653321,43.9814264,1
"258","NULL",16.032173,43.9743322,1
"259","NULL",16.0454253,43.9559481,1
"260","NULL",16.1509087,44.9416614,1
"261","NULL",16.1809387,45.9353692,1
"262","NULL",16.1834976,43.0599322,1
"263","NULL",16.1994,44.0408,1
"264","NULL",16.2085222,43.8933717,1
"265","NULL",16.233824,43.9751619,1
"266","NULL",16.2605765,43.3996977,1
"267","NULL",16.2988,43.8047,1
"268","NULL",16.3030945,44.296868,1
"269","NULL",16.3359971,43.6416336,1
"270","NULL",16.3573198,43.9793545,1
"271","NULL",16.369403,44.5560108,1
"272","NULL",16.3979316,44.431885,1
"273","NULL",16.4032543,43.9525497,1
"274","NULL",16.4099512,43.3385083,1
"275","NULL",16.432128,44.6011377,1
"276","NULL",16.4361898,43.9306553,1
"277","NULL",16.4510202,43.8488797,1
"278","NULL",16.4927352,44.54348,1
"279","NULL",16.4930631,43.6912042,1
"280","NULL",16.4969241,43.5402396,1
"281","NULL",16.5206,43.6922,1
"282","NULL",16.658285,44.553778,1
"283","NULL",16.7231516,43.8910198,1
"284","NULL",16.7779,43.871,1
"285","NULL",16.7852904,44.1102759,1
"286","NULL",16.8178684,44.4195055,1
"287","NULL",16.9171227,43.409082,1
"288","NULL",17.0630051,44.2826757,1
"289","NULL",17.0750713,43.2433472,1
"290","NULL",17.1022127,42.9820629,1
"291","NULL",17.1125675,43.3369154,1
"292","NULL",17.1324492,44.3755883,1
"293","NULL",17.1605863,43.188147,1
"294","NULL",17.1746449,44.1539086,1
"295","NULL",17.2304025,43.7644984,1
"296","NULL",17.254913,43.4295821,1
"297","NULL",17.2675,44.0266667,1
"298","NULL",17.3306923,43.4024187,1
"299","NULL",17.4508821,44.0642198,1
"300","NULL",17.4773288,43.2403439,1
"301","NULL",17.5120379,43.2007125,1
"302","NULL",17.5226262,43.2299652,1
"303","NULL",17.583559,43.9385698,1
"304","NULL",17.625,43.0801,1
"305","NULL",17.6414199,43.2727063,1
"306","NULL",17.6897181,42.8566583,1
"307","NULL",17.7023171,45.1670752,1
"308","NULL",17.7145162,43.2110013,1
"309","NULL",17.7148646,43.2180292,1
"310","NULL",17.7534084,44.1661984,1
"311","NULL",17.82552,43.6850325,1
"312","NULL",17.8331576,43.5974814,1
"313","NULL",17.838256,44.2311276,1
"314","NULL",17.8708226,42.8848331,1
"315","NULL",17.8843809,43.2418645,1
"316","NULL",17.9507753,42.6858671,1
"317","NULL",17.958448,43.078729,1
"318","NULL",17.9735051,43.6366575,1
"319","NULL",17.9766248,43.1761044,1
"320","NULL",17.9792767,42.7144589,1
"321","NULL",18.0012121,43.1425604,1
"322","NULL",18.018441,43.576834,1
"323","NULL",18.0235889,44.0038431,1
"324","NULL",18.0847183,44.7313612,1
"325","NULL",18.0896083,43.2056426,1
"326","NULL",18.1041299,43.5040612,1
"327","NULL",18.1138889,43.2286111,1
"328","NULL",18.1597377,43.3370267,1
"329","NULL",18.2025181,43.8226456,1
"330","NULL",18.2137,42.5848,1
"331","NULL",18.2976998,44.0548199,1
"332","NULL",18.3229637,43.0283751,1
"333","NULL",18.3970392,45.1546005,1
"334","NULL",18.439112,42.6471973,1
"335","NULL",18.4410799,42.7968707,1
"336","NULL",18.4606607,42.7968403,1
"337","NULL",18.5150678,42.4010696,1
"338","NULL",18.5325309,44.5344136,1
"339","NULL",18.6955649,42.5149792,1
"340","NULL",18.7169444,43.8369444,1
"341","NULL",18.7710437,42.4248515,1
"342","NULL",18.7896812,43.5835116,1
"343","NULL",18.8517867,42.776241,1
"344","NULL",18.9531326,44.0807209,1
"345","NULL",18.9702316,45.3601825,1
"346","NULL",18.976111,43.568889,1
"347","NULL",18.9882097,44.7073901,1
"348","NULL",18.9931849,42.7453689,1
"349","NULL",19.0039015,43.7985694,1
"350","NULL",19.0671192,42.1321157,1
"351","NULL",19.1515344,42.9030376,1
"352","NULL",19.2952783,44.1063188,1
"353","NULL",19.3321845,44.1849993,1
"354","NULL",19.3633333,44.3675,1
"355","NULL",19.3698163,44.1867893,1
"356","NULL",19.437214,42.2112922,1
"357","NULL",19.4471161,43.9677515,1
"358","NULL",19.5166499,41.9894342,1
"359","NULL",19.5345484,41.9595458,1
"360","NULL",19.5667479,43.3760385,1
"361","NULL",19.5922106,43.3716225,1
"362","NULL",19.6252327,43.4596534,1
"363","NULL",19.6399825,42.0074511,1
"364","NULL",19.7028344,44.2443848,1
"365","NULL",19.7333538,41.9299842,1
"366","NULL",19.7542834,43.5154829,1
"367","NULL",19.7803537,43.792561,1
"368","NULL",19.7819,43.0028,1
"369","NULL",19.7828811,44.3374388,1
"370","NULL",19.8154494,43.4597045,1
"371","NULL",20.0510375,44.4985622,1
"372","NULL",20.40036,41.9658928,1
"373","NULL",20.4155347,43.1282224,1
"374","NULL",20.4164814,42.0105618,1
"375","NULL",20.7343319,39.0090835,1
"376","NULL",21.3558995,44.9899459,1
"377","NULL",22.0825,42.3641667,1
"378","Nareste",16.4919213,43.5441591,1
"379","Nareste",16.6289431,43.4592662,1
"380","Nareste",16.6913309,43.4447124,1
"381","Nedinum - Corinium",15.5095,44.0721,1
"382","Nicopolis ad Istrum",24.8947,43.7009,1
"383","Ninia",16.2114,43.8955,1
"384","Pharus",16.4919213,43.5441591,1
"385","Risinum",18.6945,42.5164,1
"386","Salonae",15.6844,44.0103,1
"387","Salonae",16.447,43.5223,1
"388","Salonae",16.524,43.5594,1
"389","Salonae bei",16.4743,43.5384,1
"390","Salonae; Salonae",16.4743,43.5384,1
"391","Salonae; Salonae bei",16.4743,43.5384,1
"392","Scardona; Tragurium",15.9208,43.8227,1
