"","type_of_monument_clean","n"
"1","NULL",285
"2","altar",119
"3","architectural member",7
"4","base",2
"5","block",4
"6","cippus",6
"7","cliff",8
"8","fountain",1
"9","grave monument",1
"10","honorific/grave/votive column",3
"11","instrumentum militare",1
"12","relief",2
"13","sarcophagus",16
"14","statue base",19
"15","stele",168
"16","table",2
"17","tabula",93
"18","tile",15
"19","urn",10
"20",NA,19
