"","type_of_monument_clean","n"
"1","NULL",3181
"2","altar",677
"3","base",9
"4","block",5
"5","cippus",5
"6","cliff",18
"7","grave monument",3
"8","honorific/grave/votive column",9
"9","relief",28
"10","sarcophagus",684
"11","slab",10
"12","statue",4
"13","statue base",36
"14","stele",890
"15","tabula",604
"16","urn",185
"17",NA,113
