"","type_of_monument_clean","n"
"1","NULL",282
"2","altar",121
"3","base",3
"4","cliff",6
"5","grave monument",1
"6","honorific/grave/votive column",3
"7","relief",3
"8","sarcophagus",29
"9","statue base",6
"10","stele",176
"11","tabula",82
"12","urn",11
"13",NA,16
