"","place","findspot_ancient_clean","findspot_modern_clean","Longitude","Latitude"
"64","Prozor / Prozor-Rama / Bistua Vetus","NULL","Prozor-Rama",15.2789,44.8428
"65","Vitalj, Otocac / Arupium","Arupium","Otočac",15.2789,44.8428
"66","Vrana","NULL","Pakoštane",14.4132039,44.8367826
"67","Stari Majdan","NULL","Sanski Most",16.605865,44.8291443
"68","Bihac / Raetinium",NA,NA,15.8690863,44.8146409
"69","Bihac / Raetinium","Raetinium","Bihać",15.9292,44.7885
"70","Brekovica","Raetinium","Bihać",15.9292,44.7885
"71","Cavkici / Raetinium","Raetinium","Bihać",15.9292,44.7885
"72","Doljani / Raetinium","Raetinium","Bihać",15.9292,44.7885
"73","Golubic / Raetinium","Raetinium","Bihać",15.9292,44.7885
"74","Jezerine, Golubic","Raetinium","Bihać",15.9292,44.7885
"75","Kapitul, Klokot - Bihac","Raetinium","Bihać",15.9292,44.7885
"76","Pritoka / Raetinium","Raetinium","Bihać",15.9292,44.7885
"77","Ribic / Raetinium","Raetinium","Bihać",15.9292,44.7885
"78","Banja Luka / Castra","Castra","Banja Luka",17.0998,44.785
"79","Mramorje, Cokori","Castra","Banja Luka",17.0998,44.785
"80","Kastelina, Otok / Arba","Arba","Rab",14.7596,44.7565
"81","Rab, Otok / Arba","Arba","Rab",14.7596,44.7565
"82","Rab, Otok / Arba","Arba","Rab, bei",14.7596,44.7565
"83","Doboj","NULL","Kakanj",18.0847183,44.7313612
"84","Doboj",NA,NA,18.0847183,44.7313612
"85","Gornji Kosinj / Kosinj / Kossin","NULL","Perušić",15.2753538,44.716409
"86","Zabrde","NULL","Andrijevica",18.9882097,44.7073901
"87","Makljenovac","NULL","Doboj",18.0640574,44.7072623
"88","Jablanac / Iapydia","NULL","Perušić",14.8998112,44.706619
"89","Osor / Opsorus","NULL","Mali Lošinj",14.3927571,44.6935722
"90","Cres / Crexa","Apsorus","Mali Lošinj",14.3919,44.693
"91","Mali Losinj / Apsorus","Apsorus","Mali Lošinj",14.3919,44.693
"92","Mali Losinj / Apsorus","Apsorus","Mali Losinj",14.3919,44.693
"93","Osor / Opsorus","Apsorus","Mali Lošinj",14.3919,44.693
"94","Osor / Opsorus","Apsorus","Mali Losinj",14.3919,44.693
"95","Punta Kriza","Apsorus","Mali Lošinj",14.3919,44.693
"96","Krnjeusa","NULL","Bosanski Petrovac",16.2255311,44.6876805
"97","Vrtoce","NULL","Drvar",16.1764005,44.6351728
"98","Komic / Iapydia","NULL","Gospić",15.4557,44.6142
"99","Siroka Kula","Epidotium - Ancus","Gospić",15.4557,44.6142
"100","Siroka Kula","NULL","Gospić",15.4557,44.6142
"101","Smoljana","NULL","Bosanski Petrovac",16.432128,44.6011377
"102","Podlapaca / Hallaj","NULL","Udbina",15.6314144,44.5836375
"103","Vele Srakane / Canidole Grande","NULL","Mali Lošinj",14.3162906,44.5759408
"104","Maslovare","NULL","Novi Grad",17.5341165,44.5634184
"105","Gorincani","NULL","Bosanski Petrovac, bei",16.369403,44.5560108
"106","Laniste","NULL","Ključ",16.658285,44.553778
"107","Caska / Cissa",NA,NA,14.9193564,44.5505397
"108","Bravsko","NULL","Bosanski Petrovac",16.5792045,44.549017
"109","Visoki","NULL","Bosanski Petrovac",16.5792045,44.549017
"110","Caska / Cissa","Cissa","Novalja",14.914,44.546
"111","Novalja","Cissa","Novalja",14.914,44.546
"112","Bravski Vaganac","NULL","Bosanski Petrovac",16.4927352,44.54348
"113","Lukavac","NULL","Milići",18.5325309,44.5344136
"114","Udbina","NULL","Udbina",15.766236,44.5327181
"115","Udbina","NULL","Donji Lapac",15.766236,44.5327181
"116","Karlobag","NULL","Karlobag",15.0728046,44.5277802
"117","Komic / Iapydia","Ancus","Gospić",15.5014,44.5265
"118","Medak / Avendo","Ancus - Ausancalio","Gospić",15.5014,44.5265
"119","Vrebac / Ancus","Ancus","Gospić",15.5014,44.5265
"120","Srednja Gora","NULL","Udbina",15.671934,44.5093655
"121","Takovo","NULL","Ub",20.0510375,44.4985622
"122","Gornja Ploca","NULL","Lovinac",15.6492241,44.4605051
"123","Komic / Iapydia","NULL","Udbina",15.7403448,44.4509084
"124","Komic / Iapydia","NULL","Karlobag",15.7403448,44.4509084
"125","Komic / Iapydia","NULL","Gračac",15.7403448,44.4509084
"126","Pocitelj","NULL","Gospić",15.44778,44.44889
"127","Crvljivica","NULL","Bosanski Petrovac",16.3979316,44.431885
"128","Gornji Ribnik","NULL","Ribnik",16.8178684,44.4195055
"129","Mrkonjic Grad / Varcar Vakuf / Leusaba","NULL","Mrkonjić Grad",17.0840064,44.4165716
"130","Divic","(Domavium) Ad Drinum","Zvornik",19.1032,44.3869
"131","Zvornik / Ad Drinum / Domavium","(Domavium) Ad Drinum","Zvornik",19.1032,44.3869
"132","Majdan","NULL","Mrkonjić Grad",17.1324492,44.3755883
"133","Drvar","NULL","Drvar",16.3827291,44.374769
"134","Krupanj / Domavium","NULL","Ljubovija - Mali Zvornik, zwischen",19.3633333,44.3675
"135","Omsica","NULL","Gračac",15.9349073,44.3612153
"136","Omsica","NULL","Lovinac",15.9349073,44.3612153
"137","Jajce","NULL","Jajce, bei",17.2705155,44.3395173
"138","Jajce","NULL","Jajce",17.2705155,44.3395173
"139","Gornja Bukovica","NULL","Ljubovija",19.7828811,44.3374388
"140","Pag","Cissa, insula","Pag",15.207,44.3262
"141","Pag, Otok","Cissa, insula","Kolan",15.207,44.3262
"142","Donja Pecka / Sarnade","NULL","Mrkonjić Grad",16.8628447,44.3205357
"143","Gracac","NULL","Split",15.8465272,44.2985234
"144","Resanovci","NULL","Bosansko Grahovo",16.3030945,44.296868
"145","Obrovac / Clambetae","Argyruntum","Starigrad",15.4403,44.2951
"146","Stari Grad / Argyruntum","Argyruntum","Starigrad",15.4403,44.2951
"147","Stari Grad / Argyruntum","Argyruntum","Starigrad, bei",15.4403,44.2951
"148","Gromile","NULL","Jajce",17.1008778,44.2850487
"149","Gromile","NULL","Bosansko Grahovo",17.1008778,44.2850487
"150","Gromile","Baloie","Šipovo",17.1009,44.285
"151","Sipovo / Baloie","Baloie","Šipovo",17.1009,44.285
"152","Sipovo / Baloie",NA,NA,17.0827253,44.2833682
"153","Brdo","NULL","Jajce",17.0630051,44.2826757
"154","Uzovnica","NULL","Mačva",19.3416603,44.2459418
"155","Sitarice","NULL","Valjevo",19.7028344,44.2443848
"156","?","Aenona","Nin",15.1842,44.2435
"157","Nin / Aenona","Aenona","Nin",15.1842,44.2435
"158","Nin / Aenona","Aenona","Vir, Insel - Nin, zwischen",15.1842,44.2435
"159","Nin / Aenona","Aenona","Privlaka",15.1842,44.2435
"160","Nin / Aenona","Aenona","Privlaka, bei",15.1842,44.2435
"161","Nin / Aenona","Aenona","Vrsi",15.1842,44.2435
"162","Nin / Aenona","Aenona","Zadar",15.1842,44.2435
"163","Solin / Salona","Aenona","Nin",15.1842,44.2435
"164","Zadar / Iader","Aenona","Nin",15.1842,44.2435
"165","Zadar / Iader","Aenona","Zadar",15.1842,44.2435
"166","Nin / Aenona","NULL","Polača",15.1840255,44.2430736
"167","Nin / Aenona","NULL","Benkovac",15.1840255,44.2430736
"168","Travnik","Bersellum","Travnik",17.5765,44.241
"169","Turbe","Bersellum","Travnik",17.5765,44.241
"170","Stranjani","NULL","Zenica",17.838256,44.2311276
"171","Travnik","NULL","Travnik",17.6661738,44.2259454
"172","Zenica","NULL","Zenica",17.9055721,44.2010759
"173","Zenica","NULL","Kakanj",17.9055721,44.2010759
"174","Ljubovija","NULL","Ljubovija",19.3698163,44.1867893
"175","Bratunac / Domavium","NULL","NULL",19.3321845,44.1849993
"176","Bosansko Grahovo / Municipium Salvium","NULL","Livno",16.36568,44.1808174
"177","Bosansko Grahovo / Municipium Salvium","NULL","Bosansko Grahovo - Glamoč, zwischen",16.36568,44.1808174
"178","Bosansko Grahovo / Municipium Salvium","NULL","Bosansko Grahovo",16.36568,44.1808174
"179","Gradina / Domavium","Ansium","Obrovac",15.666,44.179
"180","Karin Gornji / Corinium","Ansium","Obrovac",15.666,44.179
"181","Karin Gornji / Corinium","Ansium - Corinium","Obrovac",15.666,44.179
"182","Krusevo / Clambetae","Ansium","Obrovac",15.666,44.179
"183","Krushevo","Ansium","Obrovac",15.666,44.179
"184","Obrovac / Clambetae","Ansium","Obrovac",15.666,44.179
"185","Gradina / Domavium","Ansium","Obrovac",15.6655,44.1788
"186","Mali Mosunj / Stanecli","NULL","Vitez",17.7496291,44.1742841
"187","Doci","NULL","Vitez",17.7534084,44.1661984
"188","Vagan","NULL","Šipovo",17.1746449,44.1539086
"189","Vitez","NULL","Vitez",17.791462,44.150409
"190","Vrtliste",NA,NA,18.0997059,44.1379755
"191","Bjelovac / Domavium","Domavium","Bratunac",19.3585,44.1375
"192","Bratunac / Domavium","Domavium","Bratunac",19.3585,44.1375
"193","Dzamija / Domavium","Domavium","Srebrenica",19.3585,44.1375
"194","Golubic / Raetinium","Domavium","Srebrenica",19.3585,44.1375
"195","Gradina / Domavium","Domavium","Srebrenica",19.3585,44.1375
"196","Kamenjace, Bratunac / Domavium","Domavium","Bratunac",19.3585,44.1375
"197","Krupanj / Domavium","Domavium","Krupanj",19.3585,44.1375
"198","Obadi / Domavium","Domavium","Srebrenica",19.3585,44.1375
"199","Pljevlja / Komini / Municipium Splonistarum","Domavium","Srebrenica",19.3585,44.1375
"200","Srebrenica / Domavium","Domavium","Srebrenica",19.3585,44.1375
"201","Srebrenica / Domavium","Domavium","Bratunac",19.3585,44.1375
"202","Karin Gornji / Corinium","NULL","Posedarje",15.6335444,44.1358546
"203","Karin Gornji / Corinium","NULL","Benkovac",15.6335444,44.1358546
"204","Burnum","Sidrona","Benkovac",15.7481,44.1354
"205","Gradina / Domavium","Sidrona","Benkovac",15.7481,44.1354
"206","Gradina / Domavium","Sidrona","Obrovac",15.7481,44.1354
"207","Karin Gornji / Corinium","Corinium","Obrovac",15.7481,44.1354
"208","Medvida / Medvigge / Hadra / Sidrona","Sidrona","Benkovac",15.7481,44.1354
"209","Kakanj","NULL","Kakanj",18.1189478,44.1301029
"210","Glamoc / Municipium Salvium","Municipium Salvium","Glamoč",16.8281,44.1301
"211","Glamoc / Municipium Salvium","Municipium Salvium","Glamoč, bei",16.8281,44.1301
"212","Glavica / Municipium Salvium","Municipium Salvium","Glamoč",16.8281,44.1301
"213","Jakir","Municipium Salvium","Glamoč",16.8281,44.1301
"214","Kamen / Municipium Salvium","Municipium Salvium","Glamoč",16.8281,44.1301
"215","Pankovic","Municipium Salvium","Glamoč",16.8281,44.1301
"216","Podgradina / Municipium Salvium","Municipium Salvium","Glamoč",16.8281,44.1301
"217","Staro Selo","Municipium Salvium","Glamoč",16.8281,44.1301
"218","Vrba / Municipium Salvium","Municipium Salvium","Glamoč",16.8281,44.1301
"219","Zadar / Iader","NULL","Karlobag",15.232136,44.1186078
"220","Zadar / Iader",NA,NA,15.232136,44.1186078
"221","Donje Biljane / Iader","NULL","Benkovac",15.4641845,44.1170532
"222","Glavica / Municipium Salvium","NULL","Novi Grad",16.7852904,44.1102759
"223","Benkovac / Asseria","Corinium","Novigrad",15.6256,44.1075
"224","Karin Gornji / Corinium","Corinium","Benkovac",15.6256,44.1075
"225","Karin Gornji / Corinium","Corinium","Novigrad",15.6256,44.1075
"226","Karin Gornji / Corinium","Corinium","Benkovac - Novigrad, zwischen",15.6256,44.1075
"227","Popovici","Corinium","Benkovac",15.6256,44.1075
"228","Pridraga / Corinium","Corinium","Novigrad",15.6256,44.1075
"229","Zadar / Iader","Corinium","Novigrad",15.6256,44.1075
"230","Srebrenica / Domavium","NULL","Srebrenica",19.2952783,44.1063188
"231","Berkovina","NULL","Han Pijesak",18.870278,44.086667
"232","Han-Pijesak","NULL","Han Pijesak",18.9530643,44.0812895
"233","Dautovac","NULL","Han Pijesak",18.9531326,44.0807209
"234","Glamoc / Municipium Salvium","Salviae","Livno - Glamoč, zwischen",16.7894,44.0726
"235","Glamoc / Municipium Salvium","Salviae","Glamoč",16.7894,44.0726
"236","Halapic / Municipium Salvium","Salviae","Glamoč",16.7894,44.0726
"237","Bicine / Bicina","Nedinum","Polača, bei",15.5095,44.0721
"238","Biograd na Moru / Zaravecchia / Nedinum","Nedinum","Benkovac",15.5095,44.0721
"239","Karin Gornji / Corinium","Nedinum - Corinium","Benkovac",15.5095,44.0721
"240","Nadin / Nedinum","Nedinum","Benkovac",15.5095,44.0721
"241","Rastevic / Nedinum","Nedinum","Benkovac",15.5095,44.0721
"242","Skabrnja / Nedinum","Nedinum","Škabrnja",15.5095,44.0721
"243","Zadar / Iader","Nedinum","Benkovac",15.5095,44.0721
"244","Bastasi / Municipium Salvium","NULL","Bosansko Grahovo",16.6582352,44.0718561
"245","Bugojno / Bistua Nova","NULL","Bugojno",17.4508821,44.0642198
"246","Dabravine / Dabravina / Breza","NULL","Vareš",18.2976998,44.0548199
"247","Knin / Burnum","NULL","Biskupija",16.199433,44.04085
"248","Burnum","Ninia","Knin",16.1994,44.0408
"249","Ivosevci / Burnum","Ninia","Knin",16.1994,44.0408
"250","Knin / Burnum","Ninia","Knin",16.1994,44.0408
"251","Knin / Burnum","Ninia","Knin, bei",16.1994,44.0408
"252","Mokro Polje / Burnum","Ninia","Knin, bei",16.1994,44.0408
"253","Strmca / Stermizza / Burnum","NULL","Knin",16.1994,44.0408
"254","Tepljuh / Promona","Ninia","Knin",16.1994,44.0408
"255","Kuti / Sokolac","NULL","Sokolac - Han Pijesak, zwischen",18.8657743,44.0354778
"256","Benkovac / Asseria","NULL","Klinë / Klina",15.6125528,44.0333509
"257","?","Burnum","Kistanje",15.9936,44.0317
"258","Burnum","Burnum","Kistanje",15.9936,44.0317
"259","Burnum","NULL","Kistanje",15.9936,44.0317
"260","Ervenik","Burnum","Ervenik",15.9936,44.0317
"261","Ivosevci / Burnum","Burnum","Kistanje",15.9936,44.0317
"262","Ivosevci / Burnum","Burnum","Ervenik",15.9936,44.0317
"263","Ivosevci / Burnum","Burnum","Ervenik - Kistanje",15.9936,44.0317
"264","Karlovac / Karlstadt / Burnum","Burnum","Kistanje",15.9936,44.0317
"265","Kistanje / Burnum","Burnum","Kistanje",15.9936,44.0317
"266","Knin / Burnum","Burnum","Kistanje",15.9936,44.0317
"267","Knin / Burnum","Burnum","Ervenik",15.9936,44.0317
"268","Mokro Polje / Burnum","Burnum","Ervenik",15.9936,44.0317
"269","Skradin / Scardona","Burnum","Kistanje",15.9936,44.0317
"270","Skradin / Scardona","NULL","Kistanje",15.9936,44.0317
"271","Suplja crkva","Burnum","Kistanje",15.9936,44.0317
"272","Tepljuh / Promona","Burnum","Kistanje",15.9936,44.0317
"273","Zadar / Iader","NULL","Kistanje",15.9936,44.0317
"274","Kapitul - Knin",NA,NA,16.1984439,44.0312408
"275","Bukovaca","NULL","Bosanski Petrovac",17.2675,44.0266667
"276","Dugi Otok","NULL","Sali",15.0315195,44.0211315
"277","Podgrade / Asseria","NULL","Pakoštane",15.669073,44.0203427
"278","Podgrade / Asseria","NULL","Polača",15.669073,44.0203427
"279","Podgrade / Asseria","NULL","Stankovci",15.669073,44.0203427
"280","Podgrade / Asseria","NULL","Benkovac",15.669073,44.0203427
"281","Breza","Hedum Castellum Daesitiatium","Breza",18.2634,44.0184
"282","Burnum","NULL","Biskupija",16.0181762,44.0183606
"283","Biskupija","NULL","Biskupija",16.2226592,44.0169772
"284","Ivosevci / Burnum","NULL","Promina",16.0072244,44.0160408
"285","Ivosevci / Burnum","NULL","Gračac",16.0072244,44.0160408
"286","Ivosevci / Burnum","NULL","Biskupija",16.0072244,44.0160408
"287","Ivosevci / Burnum","NULL","Kijevo",16.0072244,44.0160408
"288","Ivosevci / Burnum",NA,NA,16.0072244,44.0160408
"289","Asseria","Asseria","Benkovac",15.6844,44.0103
"290","Benkovac / Asseria","Asseria","Benkovac",15.6844,44.0103
"291","Benkovac / Asseria","Asseria","Benkovac, bei",15.6844,44.0103
"292","Bukovic","Asseria","Benkovac",15.6844,44.0103
"293","Burnum","Asseria","Benkovac",15.6844,44.0103
"294","Dobropoljci","Asseria","Benkovac",15.6844,44.0103
"295","Gornja Bukovica","Asseria","Benkovac",15.6844,44.0103
"296","Gradina di Perusic","Asseria","Benkovac",15.6844,44.0103
"297","Podgrade / Asseria","Asseria","Benkovac",15.6844,44.0103
"298","Podgrade / Asseria","NULL","Benkovac",15.6844,44.0103
"299","Podgrade / Asseria","Asseria - Corinium","Obrovac",15.6844,44.0103
"300","Solin / Salona","Salonae","Split",15.6844,44.0103
"301","Solin / Salona","Asseria","Venezia",15.6844,44.0103
"302","Asseria",NA,NA,15.6690296,44.0099747
"303","Brestovsko","NULL","Kiseljak",18.0235889,44.0038431
"304","Dobropoljci","Alveria","Lišane Ostrovičke",15.8139,43.9937
"305","Ostrovica / Alveria","Alveria","Lišane Ostrovičke",15.8139,43.9937
"306","Podgrade / Asseria","Alveria","Lišane Ostrovičke",15.8139,43.9937
"307","Skradin / Scardona","Alveria","Lišane Ostrovičke",15.8139,43.9937
"308","Vina","Hedum Castellum Daesitiatium","Breza",18.2782592,43.9902346
"309","Kistanje / Burnum","NULL","Kistanje - Lišane Ostrovičke, zwischen",15.9653321,43.9814264
"310","Otinovci / Ad Matricem / Delminium","NULL","Kupres",17.3082922,43.9793723
"311","Kijevo","NULL","Kijevo",16.3573198,43.9793545
"312","Orlic","NULL","Biskupija",16.233824,43.9751619
"313","Puljane / Pugliane / Burnum","NULL","Promina",16.032173,43.9743322
"314","Tubici","NULL","Kosjerić",19.9564933,43.9733296
"315","Skelani / Municipium Malvesatium",NA,NA,19.5317425,43.9721961
"316","Peci","NULL","Bosansko Grahovo",19.4471161,43.9677515
"317","Arilje","Municipium Malvesiatium","Arilje",19.5333,43.9667
"318","Bajina Basta","Municipium Malvesiatium","Bajina Bašta",19.5333,43.9667
"319","Cacak / Malvesiatium","Municipium Malvesiatium","Lučani",19.5333,43.9667
"320","Cacak / Malvesiatium","Municipium Malvesiatium","Čačak",19.5333,43.9667
"321","Cacak / Malvesiatium","Municipium Malvesatium","Čačak",19.5333,43.9667
"322","Crvica","Municipium Malvesiatium","Bajina Bašta",19.5333,43.9667
"323","Drazinovici","Municipium Malvesiatium","Požega",19.5333,43.9667
"324","Fakovici / Domavi","Municipium Malvesiatium","Bratunac",19.5333,43.9667
"325","Gorobilje","Municipium Malvesiatium","Požega",19.5333,43.9667
"326","Gradina / Domavium","Municipium Malvesiatium","Arilje, bei",19.5333,43.9667
"327","Gradina / Domavium","Municipium Malvesiatium","Srebrenica",19.5333,43.9667
"328","Jezevica / Municipium Malvesatium","Municipium Malvesiatium","Požega",19.5333,43.9667
"329","Karan","Capedunum","Užice",19.5333,43.9667
"330","Lijesce / Municipium Malvesatium","Municipium Malvesiatium","Srebrenica",19.5333,43.9667
"331","Negrisori / Municipium Malvesatium","Municipium Malvesiatium","Lučani",19.5333,43.9667
"332","Pozega","Municipium Malvesiatium","Požega",19.5333,43.9667
"333","Pozega","Capedunum","Užice",19.5333,43.9667
"334","Prilipac","Municipium Malvesiatium","Požega",19.5333,43.9667
"335","Rudo / Municipium Malvesatium","Municipium Malvesiatium","Rudo",19.5333,43.9667
"336","Skelani / Municipium Malvesatium","Municipium Malvesiatium","Srebrenica",19.5333,43.9667
"337","Tuckovo","Municipium Malvesiatium","Požega",19.5333,43.9667
"338","Visibaba","Municipium Malvesiatium","Požega",19.5333,43.9667
"339","Vrutci","Capedunum","Užice",19.5333,43.9667
"340","Zljebac","Municipium Malvesiatium","Bratunac",19.5333,43.9667
"341","Podastinje","NULL","Kiseljak",18.0791069,43.9586303
"342","Mratovo / Burnum","NULL","Promina",16.0454253,43.9559481
"343","Kotlusa","NULL","Civljane",16.4032543,43.9525497
"344","Kiseljak","NULL","Kiseljak",18.0782775,43.9438172
"345","?","Iader","Zadar",15.4483,43.9393
"346","Biograd na Moru / Zaravecchia / Nedinum","Iader","Biograd na Moru",15.4483,43.9393
"347","Burnum","Iader","Biograd na Moru",15.4483,43.9393
"348","Galovac / Iader","Iader","Galovac",15.4483,43.9393
"349","Nadin / Nedinum","Iader","Biograd na Moru, bei",15.4483,43.9393
"350","Nadin / Nedinum","Iader","Biograd na Moru",15.4483,43.9393
"351","Podgrade / Asseria","Iader","Biograd na Moru",15.4483,43.9393
"352","Risan / Risano / Risinium","Iader","Zadar",15.4483,43.9393
"353","Zadar / Iader","Iader","Zadar",15.4483,43.9393
"354","Zadar / Iader","Iader","Zadar, bei",15.4483,43.9393
"355","Zadar / Iader","Iader","Zemunik Donji",15.4483,43.9393
"356","Zadar / Iader","Iader","Bibinje",15.4483,43.9393
"357","Zadar / Iader","Iader","Kali",15.4483,43.9393
"358","Uzdolje","NULL","Biskupija",16.1966494,43.9386349
"359","Gornji Vakuf-Uskoplje","NULL","Gornji Vakuf-Uskoplje",17.583559,43.9385698
"360","Vinalic","NULL","Vrlika",16.4361898,43.9306553
"361","Karan / Malvesiatum",NA,NA,19.9177621,43.9238227
"362","Bribir / Bribirska Glavica / Varvaria","NULL","Skradin",15.8398106,43.9214921
"363","Donje Stitarevo",NA,NA,19.1861765,43.9119238
"364","Vrlika / Vrlica / Salona","NULL","Vrlika",16.3977809,43.9096687
"365","Vrlika / Vrlica / Salona","NULL","Civljane",16.3977809,43.9096687
"366","Vrlika / Vrlica / Salona","Salonae","Vrlika",16.3977809,43.9096687
"367","Vrlika / Vrlica / Salona","NULL","Kijevo",16.3977809,43.9096687
"368","Krklic, Pakostane","NULL","Pakoštane",15.5061682,43.9082968
"369","Vogosca","Aquae S(---)","Vogošća",18.3426533,43.9016526
"370","Gornji Muc / Andetrium","Promona","Drniš",16.2114,43.8955
"371","Ivosevci / Burnum","Promona","Promina",16.2114,43.8955
"372","Oklaj","Promona","Promina",16.2114,43.8955
"373","Solin / Salona","Promona","Drniš",16.2114,43.8955
"374","Tepljuh / Promona","Promona","Drniš",16.2114,43.8955
"375","Tepljuh / Promona","Promona","Promina",16.2114,43.8955
"376","Tepljuh / Promona","Ninia","Knin, bei",16.2114,43.8955
"377","Vrlika / Vrlica / Salona","Promona","Drniš",16.2114,43.8955
"378","Tepljuh / Promona","NULL","Gračac",16.2085222,43.8933717
"379","Cacak / Malvesiatium",NA,NA,20.3501125,43.8913319
"380","Donji Rujani","NULL","Livno",16.7231516,43.8910198
"381","Bratiskovci","NULL","Skradin",15.9051,43.8892
"382","Bribir / Bribirska Glavica / Varvaria","Varvaria","Skradin",15.9051,43.8892
"383","Ivosevci / Burnum","Varvaria","Skradin",15.9051,43.8892
"384","Lastve, Bribir","Varvaria","Skradin",15.9051,43.8892
"385","Nadin / Nedinum","Varvaria","Skradin",15.9051,43.8892
"386","Planicnik","Varvaria","Skradin",15.9051,43.8892
"387","Skradin / Scardona","Varvaria","Skradin",15.9051,43.8892
"388","Lipa / Delminium","NULL","Livno",16.7779,43.871
"389","Listani / Lastani","Pelva","Livno",16.7779,43.871
"390","Livno / Bariduum / Delminium","Pelva","Livno",16.7779,43.871
"391","Kresevo","NULL","Kreševo",18.0486381,43.8683908
"392","Lucani",NA,NA,20.1360959,43.8602958
"393","Mali Kablici / Delminium","NULL","Livno",16.9440416,43.8561788
"394","Bioska","Capedunum","Užice",19.6639,43.8561
"395","Uzice","Capedunum","Užice",19.6639,43.8561
